Ensembl.Transcript.ID	Ensembl.Gene.ID	Associated.Gene.Name	HGNC.symbol	EntrezGene.ID	Length	NumReads	Expected_FPKM	star.htseq.u.count	star.htseq.u.FPKM	star.htseq.ine.count	star.htseq.ine.FPKM	star.htseq.is.count	star.htseq.is.FPKM	tophat.htseq.u.count	tophat.htseq.u.FPKM	tophat.htseq.ine.count	tophat.htseq.ine.FPKM	tophat.htseq.is.count	tophat.htseq.is.FPKM	star.cufflinks.NumReads	star.cufflinks.FPKM	star.cufflinks.mr.NumReads	star.cufflinks.mr.FPKM	tophat.cufflinks.NumReads	tophat.cufflinks.FPKM	tophat.cufflinks.mr.NumReads	tophat.cufflinks.mr.FPKM	sailfish.RPKM	sailfish.NumReads	sailfish.FPKM	sailfish.bc.RPKM	sailfish.bc.NumReads	sailfish.bc.FPKM
ENST00000504543	ENSG00000231051	USP17L28	USP17L28	728379;728419;728400;728405;728393;728369;728373	1593	84331	1086.610579	0	0	0	0	0	0	0	0	0	0	0	0	68.03092328	0.876583	0	0	61801.46399	796.316	0	0	1513.56	220682	1421.75117	761.975	57928.9	373.2088769
ENST00000511681	ENSG00000231637	USP17L29	USP17L29	728400;728419;728393;728379;728369;728373;728405	1593	65179	839.8357776	0	0	0	0	0	0	0	0	0	0	0	0	68.03092328	0.876583	0	0	61778.72449	796.023	0	0	1513.56	220682	1421.75117	761.975	57928.9	373.2088769
ENST00000515574	ENSG00000235780	USP17L27	USP17L27	728369;728393;728400;728405;728373;728379;728419	1593	19543	251.8128631	0	0	0	0	0	0	0	0	0	0	0	0	68.03092328	0.876583	0	0	61785.78692	796.114	0	0	1513.56	220682	1421.75117	761.975	57928.9	373.2088769
ENST00000564543	ENSG00000260272	RP11-20I23.1		NA	1944	203	2.143395092	0	0	21	0.221730527	18	0.190054737	0	0	25	0.263964913	25	0.263964913	214.874202	2.26877	214.874202	2.26877	229.6214271	2.42448	207.0114145	2.18575	2.24745	404.722	2.136648149	3.70429	344.417	1.818280068
ENST00000556278	ENSG00000258728	GALT		NA	902	178	4.050567926	0	0	62	1.410871974	44	1.001263982	0	0	69	1.570163971	69	1.570163971	224.3997229	5.10644	224.3997229	5.10644	237.3066488	5.40015	233.3072639	5.30914	4.48993	351.659	4.001176029	3.58353	152.835	1.738956598
ENST00000415858	ENSG00000230594	CT47A4	CT47A4	728036;728072;100507170;728090;728082;728075;728049;255313;728042	1298	86345	1365.415901	0	0	0	0	0	0	0	0	0	0	0	0	366.8019866	5.80042	0	0	62998.48561	996.226	0	0	106.352	12442.6	98.38047302	59.645	3684.64	29.13351117
ENST00000417256	ENSG00000226600	CT47A9	CT47A9	100507170;728082;728075;728072;728042;728036;728090;255313;728049	1298	40660	642.9765536	0	0	0	0	0	0	0	0	0	0	0	0	366.8019866	5.80042	0	0	62821.73779	993.431	0	0	106.352	12442.6	98.38047302	59.645	3684.64	29.13351117
ENST00000430448	ENSG00000224089	CT47A10	CT47A10	255313;728042;100507170;728072;728082;728036;728075;728090;728049	1298	97269	1538.162479	0	0	0	0	0	0	0	0	0	0	0	0	366.8019866	5.80042	0	0	64539.19535	1020.59	0	0	106.352	12442.6	98.38047302	59.645	3684.64	29.13351117
ENST00000439466	ENSG00000237957	CT47A5	CT47A5	728036;728075;100507170;255313;728072;728090;728042;728049;728082	1298	33900	536.0773529	0	0	0	0	0	0	0	0	0	0	0	0	366.8019866	5.80042	0	0	63129.76592	998.302	0	0	106.352	12442.6	98.38047302	59.645	3684.64	29.13351117
ENST00000441330	ENSG00000236126	CT47A3	CT47A3	255313;728049;728036;728082;728090;728075;728072;728042;100507170	1298	80894	1279.21656	0	0	0	0	0	0	0	0	0	0	0	0	366.8019866	5.80042	0	0	62465.27002	987.794	0	0	106.352	12442.6	98.38047302	59.645	3684.64	29.13351117
ENST00000457977	ENSG00000230347	CT47A8	CT47A8	728072;728036;728075;728082;100507170;255313;728049;728042;728090	1298	97816	1546.812459	0	0	0	0	0	0	0	0	0	0	0	0	366.8019866	5.80042	0	0	62510.48458	988.509	0	0	106.352	12442.6	98.38047302	59.645	3684.64	29.13351117
ENST00000458218	ENSG00000242362	CT47A2	CT47A2	728090;728036;100507170;728049;728072;728082;728042;728075;255313	1298	50622	800.5105533	0	0	0	0	0	0	0	0	0	0	0	0	366.8019866	5.80042	0	0	62215.10389	983.838	0	0	106.352	12442.6	98.38047302	59.645	3684.64	29.13351117
ENST00000457020	ENSG00000226929	CT47A11	CT47A11	728042;728090;728036;100507170;255313;728075;728049;728072;728082	1294	15116	239.7756415	0	0	0	0	0	0	0	0	0	0	0	0	367.070534	5.82261	0	0	65609.97848	1040.73	0	0	4321.74	503929	3996.755069	2313.73	142486	1130.083093
ENST00000623744	ENSG00000280433	TMEM1		102724200	3898	3636	19.14628391	0	0	0	0	0	0	1	0.005265755	1	0.005265755	1	0.005265755	1995.174614	10.5061	0	0	1893.555751	9.971	1.041273353	0.00548309	19.242	7136.94	18.79068749	102.155	19139.5	50.39195556
ENST00000555438	ENSG00000224186	C5orf66	C5orf66	100996485	3246	2105	13.31085766	0	0	51	0.322495839	51	0.322495839	0	0	56	0.354113078	56	0.354113078	2345.429333	14.8312	2345.429333	14.8312	2221.288196	14.0462	2218.125364	14.0262	6.77118	2080.32	6.577397484	30.7857	4798.41	15.17124763
ENST00000624525	ENSG00000279634	DAZ2	DAZ2	NA	1677	28450	348.2183576	0	0	0	0	0	0	0	0	0	0	0	0	1266.309574	15.4992	3.18424E-06	3.8974E-08	4.02419E-06	4.92547E-08	3.95906E-06	4.84576E-08	0	0	0	0	0	0
ENST00000624976	ENSG00000280421	DAZ1		NA	1605	98794	1263.44979	0	0	0	0	0	0	0	0	0	0	0	0	1722.078739	22.0232	3.09732E-05	3.96108E-07	3.90853E-05	4.99851E-07	3.82965E-05	4.89764E-07	0	0	0	0	0	0
ENST00000396864	ENSG00000213928	IRF9	IRF9	10379	1838	1714	19.14113848	0	0	0	0	0	0	0	0	0	0	0	0	1988.229198	22.2036	1988.229198	22.2036	1924.311725	21.4898	1897.895846	21.1948	19.9484	3385.82	18.90561537	27.1005	2381	13.29493895
ENST00000416816	ENSG00000226685	CT47A12	CT47A12	728042;728082;728049;728036;728075;100507170;728090;728072;255313	1294	40888	648.5807376	0	0	0	0	0	0	79	1.253127526	79	1.253127526	0	0	1443.598567	22.8989	0	0	80108.43904	1270.71	0	0	4321.74	503929	3996.755069	2313.73	142486	1130.083093
ENST00000624742	ENSG00000279870	AC010722.2		NA	3114	4555	30.02425416	0	0	36	0.237293776	36	0.237293776	0	0	45	0.29661722	45	0.29661722	4060.081205	26.762	3325.543608	21.9203	8400.402377	55.3712	2990.17198	19.7097	289.182	85118.1	280.5277133	1394.45	208456	687.0182135
ENST00000623344	ENSG00000278871	KDM5D	KDM5D	NA	4620	301	1.337294242	0	0	0	0	0	0	0	0	0	0	0	0	6177.380295	27.4451	6177.380295	27.4451	85017.05415	377.717	83801.16467	372.315	24.2237	10692.6	23.75274487	104.103	23134.7	51.3918623
ENST00000433030	ENSG00000236371	CT47A1	CT47A1	728096	1298	67332	1064.753992	0	0	0	0	0	0	396	6.262142529	396	6.262142529	396	6.262142529	1829.286118	28.9274	0	0	69270.59836	1095.41	475.0759897	7.51261	904.497	105821	836.699728	493.798	30504.9	241.1944844
ENST00000439343	ENSG00000259040	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5	81567	3030	5588	37.85438751	0	0	450	3.048402716	388	2.628400564	0	0	482	3.265178021	479	3.244855336	4352.14151	29.4824	4352.14151	29.4824	5052.486969	34.2267	4886.194964	33.1002	156.123	44672.7	151.3115334	713.052	103701	351.2471223
ENST00000622933	ENSG00000279073	RP11-229P13.27		NA	765	808	21.67965568	0	0	169	4.534482437	158	4.23933861	0	0	208	5.580901461	207	5.554070204	1167.328835	31.3209	1167.328835	31.3209	1149.64051	30.8463	1132.522415	30.387	23.9413	1554.8	20.85861921	29.453	1061.25	14.23733576
ENST00000540732	ENSG00000255730	CTC-435M10.3		NA	1960	3195	33.45933043	0	0	576	6.03210464	512	5.361870791	0	0	598	6.262497526	598	6.262497526	3702.425958	38.7733	3702.425958	38.7733	3553.825883	37.2171	3477.530124	36.4181	34.7498	6312.07	33.05127321	52.276	4900.92	25.66220684
ENST00000617428	ENSG00000268861	CTD-2207O23.3		NA	4964	9126	37.73559014	0	0	367	1.517528116	342	1.414154266	0	0	401	1.658116551	401	1.658116551	9497.348716	39.2711	9477.880543	39.1906	8566.866779	35.4236	8429.501285	34.8556	38.0079	18054	37.3262297	187.567	44799.4	92.62172897
ENST00000625061	ENSG00000279899	AC006157.2		NA	1833	3404	38.11795045	0	0	0	0	0	0	0	0	0	0	0	0	3832.188496	42.9128	3832.188496	42.9128	3802.093804	42.5758	3716.408767	41.6163	68.1459	11533.1	64.5737565	91.6601	8030.96	44.96529602
ENST00000399635	ENSG00000206203	TSSK2	TSSK2	23617	1816	3256	36.80196489	0	0	0	0	0	0	0	0	0	0	0	0	3881.48447	43.8717	3881.48447	43.8717	3667.573152	41.4539	3667.573152	41.4539	19.1925	3216.29	18.17656506	22.5462	1956.91	11.05929563
ENST00000529415	ENSG00000254402	LRRC24	LRRC24	441381	1758	3335	38.93851835	0	0	91	1.062490306	91	1.062490306	0	0	101	1.179247482	101	1.179247482	3971.576001	46.371	3971.576001	46.371	3763.871423	43.9459	3709.510739	43.3112	24.1771	3914.67	22.8532908	89.5462	7521.36	43.90863784
ENST00000602836	ENSG00000270181	BIVM-ERCC5	BIVM-ERCC5	100533467	4155	9324	46.06103489	0	0	489	2.415684906	447	2.208202767	0	0	530	2.618226994	524	2.588586688	9987.731033	49.3399	9987.731033	49.3399	9643.48357	47.6393	9490.003371	46.8811	46.5164	18420.6	45.4993511	432.001	86300.8	213.1651737
ENST00000618352	ENSG00000262621	LA16c-306E5.2		NA	2905	37156	262.5338287	0	0	1857	13.12103886	1681	11.87747244	0	0	1122	7.927735918	1122	7.927735918	7159.257976	50.5853	7159.257976	50.5853	3022.353727	21.3551	2948.490041	20.8332	251.311	68841.7	243.2080293	1204.27	167869	593.0575316
ENST00000624787	ENSG00000279053	UTY	UTY	NA	4044	11687	59.31907249	0	0	0	0	0	0	0	0	0	0	0	0	10085.81016	51.192	9958.397802	50.5453	31245.08805	158.589	27707.21313	140.632	0.00271041	1.04395	0.00264936	0.133264	25.9077	0.065749154
ENST00000374294	ENSG00000244115	DNAJC25-GNG10	DNAJC25-GNG10	552891	1448	3737	52.9732954	0	0	684	9.695941678	525	7.442060499	0	0	560	7.938197865	408	5.783544159	3741.486985	53.0369	3150.200137	44.6552	3265.766921	46.2934	2346.333049	33.2601	56.0825	7382.85	52.32725367	29.546	2039.3	14.45389902
ENST00000624729	ENSG00000279823	UTY		NA	4170	10770	53.01296599	0	0	0	0	0	0	0	0	0	0	0	0	11370.5415	55.969	11366.39708	55.9486	12490.87576	61.4836	11964.33126	58.8918	43.5584	17313	42.60972517	397.497	79696	196.1430519
ENST00000623932	ENSG00000279644	AC008074.1		NA	1622	10862	137.4552725	0	0	1263	15.98287693	1184	14.9831562	0	0	305	3.859681286	259	3.27756542	4646.323795	58.7978	4634.541605	58.6487	3596.144208	45.5081	3600.316573	45.5609	87.8208	13053.3	82.59275037	47.5598	3682.34	23.29944063
ENST00000434883	ENSG00000228517	CT47A7	CT47A7	653282	1288	39561	630.4546504	0	0	0	0	0	0	148	2.358567485	148	2.358567485	148	2.358567485	3980.292301	63.431	0	0	55899.72933	890.833	177.8685082	2.83456	718.139	83316.6	663.8777828	389.002	23843.1	189.9850013
ENST00000417761	ENSG00000262560	RP11-296A16.1		NA	2326	6889	60.7923496	0	0	767	6.768432595	541	4.774083486	0	0	790	6.971397327	788	6.95374822	7394.493038	65.2531	7394.493038	65.2531	7497.580406	66.1628	7321.401522	64.6081	51.8287	11266.8	49.71224013	221.676	24701	108.987649
ENST00000450534	ENSG00000272410	RP11-438J1.1		NA	2831	8200	59.45336465	0	0	129	0.935302932	129	0.935302932	0	0	151	1.094811959	151	1.094811959	9180.873501	66.5651	9180.873501	66.5651	8753.863185	63.4691	8680.184596	62.9349	60.7416	16200	58.72832361	228.716	31064.3	112.6144607
ENST00000585937	ENSG00000267059	UQCR11	UQCR11	NA	1002	2640	54.08024619	0	0	732	14.99497735	632	12.94648318	0	0	760	15.56855572	760	15.56855572	3511.579428	71.9345	3511.579428	71.9345	3388.269339	69.4085	3327.810294	68.17	59.2837	5222.14	53.48761683	25.2864	1200.58	12.29690568
ENST00000429905	ENSG00000215029	TCP11X2	TCP11X2	100996648	2230	7126	65.59087275	0	0	572	5.264942354	499	4.593017892	34	0.312951119	432	3.976320099	423	3.893480097	7896.532879	72.6832	1527.392526	14.0588	7657.257172	70.4808	622.1961457	5.72697	63.4832	13205.2	60.77326641	245.002	26164.2	120.4134657
ENST00000623120	ENSG00000279938	UTY		NA	4335	13187	62.43949171	0	0	0	0	0	0	0	0	0	0	0	0	15368.89356	72.7706	15367.43631	72.7637	12808.91784	60.6493	12472.7353	59.0575	84.8187	35079.4	83.04921156	836.955	174475	413.0632561
ENST00000427721	ENSG00000250644	RP11-295K3.1		NA	997	2659	54.74262689	0	0	776	15.97603553	659	13.56727759	0	0	828	17.04659461	823	16.94365623	3584.333892	73.7931	3584.333892	73.7931	3417.496206	70.3583	3361.448108	69.2044	59.9681	5253.15	54.07507154	26.2477	1239.88	12.76312302
ENST00000310981	ENSG00000173349	SFT2D3	SFT2D3	84826	3735	12890	70.83775123	0	0	0	0	0	0	0	0	0	0	0	0	14207.90946	78.0804	14207.90946	78.0804	13457.61268	73.9571	13457.61268	73.9571	35.8229	12716.6	34.94241068	189.747	34056.6	93.58002166
ENST00000623142	ENSG00000280442	AC010879.2		NA	1947	8442	88.99832867	0	0	0	0	0	0	0	0	0	0	0	0	7439.2965	78.4275	4133.119564	43.5727	5555.016201	58.5628	0.121558546	0.00128151	0	0	0	0	0	0
ENST00000514667	ENSG00000273217	CTC-432M15.3		NA	6393	24005	77.07250251	0	0	822	2.639183381	630	2.022731788	0	0	859	2.75797874	853	2.738714628	25877.06057	83.0831	25877.06057	83.0831	25050.35235	80.4288	24740.38738	79.4336	77.1682	47424.5	76.13257436	2448.79	753900	1210.267853
ENST00000623563	ENSG00000279008	AC006157.1		NA	2175	7794	73.55354262	0	0	0	0	0	0	0	0	0	0	0	0	8972.183837	84.6723	8972.183837	84.6723	8695.597583	82.0621	8702.644164	82.1286	155.568	31524.3	148.7505737	647.823	67461.3	318.3229154
ENST00000398333	ENSG00000250021	C15orf38-AP3S2	C15orf38-AP3S2	100526783	2439	9148	76.98689608	0	0	943	7.936012571	765	6.438016561	0	0	986	8.297888012	981	8.255809472	10592.84624	89.1463	10592.84624	89.1463	10248.15747	86.2455	10113.90851	85.1157	78.9202	18027.1	75.85540415	257.19	30062.1	126.4969266
ENST00000624483	ENSG00000279596	UTY		NA	4200	16272	79.52324618	0	0	0	0	0	0	0	0	0	0	0	0	19310.03637	94.3705	19304.98227	94.3458	18541.46539	90.6144	17142.05276	83.7753	54.4175	21788.6	53.24177119	517.634	104533	255.4327523
ENST00000382141	ENSG00000273167	RP11-307N16.6		NA	4157	17296	85.40201286	0	0	1388	6.853491781	1061	5.23887232	0	0	1293	6.384412733	1290	6.36959971	19338.78102	95.4886	19330.03197	95.4454	18585.45064	91.7689	18321.98652	90.468	86.2452	34170.1	84.36041048	282.377	56437.8	139.3357343
ENST00000624950	ENSG00000279449	UTY		NA	4104	17128	85.6646721	0	0	0	0	0	0	0	0	0	0	0	0	19325.77242	96.6567	19326.5522	96.6606	23484.23441	117.455	20696.63749	103.513	45.6958	17868	44.68286902	434.072	85645.2	214.174684
ENST00000436583	ENSG00000158427	TMSB15B	TMSB15B	286527	2186	18660	175.2120361	0	0	0	0	0	0	1	0.009389713	1	0.009389713	0	0	10811.08708	101.513	0	0	10187.40452	95.6568	1.097956934	0.0103095	180.996	36871.4	173.1059236	693.821	72620	340.9404625
ENST00000502978	ENSG00000251349	MSANTD3-TMEFF1	MSANTD3-TMEFF1	100526694	2069	8650	85.81398528	0	0	361	3.58136979	304	3.01589035	0	0	404	4.007959544	404	4.007959544	10261.58262	101.802	10261.58262	101.802	9987.125959	99.0792	9871.761022	97.9347	88.872	17089	84.76735228	367.654	36403.5	180.5739545
ENST00000430024	ENSG00000213297	ZNF625-ZNF20	ZNF625-ZNF20	NA	2651	13055	101.0810171	0	0	1856	14.37046095	1283	9.933890839	0	0	1499	11.60631517	1425	11.03335498	14271.88514	110.503	14076.08794	108.987	13775.03037	106.656	13131.58601	101.674	102.769	25602.4	99.11591847	396.584	50416.3	195.1792754
ENST00000477305	ENSG00000255154	RPP14		NA	1531	7295	97.80308641	0	0	1686	22.60397583	1353	18.1394895	0	0	238	3.190834073	205	2.7484075	8703.078055	116.681	8689.577509	116.5	8241.896443	110.498	8141.574711	109.153	103.816	14508.1	97.25407525	53.5934	3913.93	26.23676724
ENST00000562949	ENSG00000272617	RP11-343C2.12		NA	887	3562	82.42761804	0	0	0	0	0	0	0	0	0	0	0	0	5056.172408	117.004	5056.172408	117.004	4775.58604	110.511	4746.071102	109.828	91.5616	7037.12	81.42238061	42.0411	1762.56	20.39354611
ENST00000623574	ENSG00000279279	AC010722.1		NA	3147	31566	205.8852642	0	0	0	0	0	0	0	0	0	0	0	0	19091.97419	124.525	11737.84232	76.5586	15064.26907	98.2548	5895.767215	38.4544	0.435559	129.606	0.422669416	2.13468	322.514	1.051778497
ENST00000539652	ENSG00000228144	RP11-745O10.4		NA	984	4846	101.0859428	0	0	1335	27.84765449	1180	24.61440622	0	0	1360	28.36914615	1131	23.59228257	6035.810846	125.905	6006.903384	125.302	5434.842459	113.369	5053.820064	105.421	110.898	9573.8	99.85313653	44.8359	2089.79	21.796161
ENST00000455236	ENSG00000100101	RP1-37E16.12		NA	8110	49140	124.3703202	0	0	1209	3.059904704	1033	2.61445952	0	0	1508	3.81665533	1508	3.81665533	50902.46071	128.831	49488.7559	125.253	49284.08874	124.735	48286.43513	122.21	124.236	97182.1	122.9809615	1423	556103	703.7312597
ENST00000613757	ENSG00000250745	USP17L20	USP17L20	100287441;101930650	1677	41591	509.0597438	0	0	0	0	0	0	0	0	0	0	0	0	11117.383	136.073	0	0	60132.22061	735.998	0	0	99.7102	15356	93.97611774	117.216	9386.89	57.44617608
ENST00000323319	ENSG00000177300	CLDN22	CLDN22	53842	2581	15863	126.1536366	0	0	0	0	0	0	0	0	0	0	0	0	17807.5432	141.618	16162.94395	128.539	16862.07781	134.099	16066.87591	127.775	64.673	15669.5	62.30739484	269.509	33350.5	132.613215
ENST00000572195	ENSG00000262664	OVCA2	OVCA2	124641	1122	5985	109.4898227	0	0	40	0.731761555	40	0.731761555	0	0	40	0.731761555	40	0.731761555	7901.918267	144.558	7901.918267	144.558	7443.408254	136.17	7422.909774	135.795	118.47	11824	108.1543579	54.5335	2905.29	26.57474411
ENST00000534081	ENSG00000254979	RP11-872D17.8		NA	1639	10169	127.3508208	0	0	2434	30.48204325	1752	21.94105989	0	0	2450	30.68241823	2442	30.58223074	11563.36008	144.813	11563.36008	144.813	11602.24717	145.3	11365.17166	142.331	133.684	20092	125.8104382	80.121	6269.18	39.25583729
ENST00000615853	ENSG00000277745	H2AFB3	H2AFB3	83740;474381	591	3114	108.1517577	0	0	0	0	0	0	0	0	0	0	0	0	4255.039805	147.781	0	0	3979.348031	138.206	0	0	128.138	6144.19	106.6963629	23.0269	636.182	11.04755965
ENST00000571730	ENSG00000262660	SLC25A10		NA	1922	13063	139.5057146	0	0	1734	18.51817417	1343	14.34250745	0	0	1862	19.88514435	1850	19.7569909	14153.71913	151.154	14153.71913	151.154	14610.76494	156.035	14159.61831	151.217	153.202	27259.6	145.5588295	247.207	22722.1	121.329817
ENST00000532219	ENSG00000254996	ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	404734	8246	61969	154.2529975	0	0	2609	6.494312809	2123	5.28456347	0	0	2692	6.700916091	2692	6.700916091	64285.41145	160.019	64285.41145	160.019	63033.60171	156.903	60696.70273	151.086	193.82	154188	191.9020896	6702.86	2663490	3314.974554
ENST00000382079	ENSG00000273294	C1QTNF3-AMACR	C1QTNF3-AMACR	NA	3424	25211	151.1328148	0	0	2582	15.47835976	2237	13.41018233	5	0.029973586	2603	15.60424882	2578	15.45438089	27860.02992	167.013	27860.02992	167.013	26566.89135	159.261	26316.83785	157.762	153.456	49813.9	149.3101211	679.76	111795	335.0897036
ENST00000318357	ENSG00000163126	ANKRD23	ANKRD23	200539	2597	18897	149.3562387	0	0	493	3.896524617	485	3.833295009	0	0	575	4.544628103	572	4.520917	21255.99121	168.001	21255.99121	168.001	20325.28799	160.645	20154.10237	159.292	153.098	37333.1	147.5348308	340.31	42374.8	167.4588756
ENST00000016946	ENSG00000015568	RGPD5	RGPD5	84220;729540;653489;727851;285190	7253	65853	186.3632784	0	0	0	0	0	0	316	0.894276585	316	0.894276585	304	0.860316715	59422.13502	168.164	0	0	60012.95	169.836	317.2849571	0.897913	45.1882	31566	44.66571945	860.209	300561	425.2921911
ENST00000329516	ENSG00000183054	RGPD6	RGPD6	729540;653489;84220	7165	74760	214.1684791	0	0	0	0	0	0	47	0.134643105	47	0.134643105	32	0.091671901	58792.2791	168.425	0	0	59538.59285	170.563	47.51170145	0.136109	361.687	249547	357.4444988	6750.29	2329890	3337.272591
ENST00000613973	ENSG00000233136	USP17L11	USP17L11	101930650;100287178	1677	71640	876.8493194	0	0	0	0	0	0	37	0.45286746	37	0.45286746	37	0.45286746	13825.13772	169.215	0	0	65008.49943	795.682	42.12445074	0.515589	962.217	148187	906.8793279	1129.45	90448.3	553.5282684
ENST00000452361	ENSG00000274049	INO80B-WBP1	INO80B-WBP1	NA	2040	15082	151.7508819	0	0	1923	19.34869022	1828	18.39282669	0	0	1255	12.62746034	1145	11.52067098	17256.98748	173.635	17128.77881	172.345	14713.78449	148.046	12559.18298	126.367	175.754	33297.7	167.5160901	277.033	27042.5	136.0470503
ENST00000622992	ENSG00000279152	AC129492.1		NA	756	4300	116.74791	0	0	0	0	0	0	0	0	0	0	0	0	6592.763843	178.998	6592.763843	178.998	6165.665834	167.402	6165.665834	167.402	66.3024	4247.56	57.66206427	61.6135	2193.27	29.7743824
ENST00000222254	ENSG00000105647	PIK3R2	PIK3R2	5296	4033	31270	159.1483403	0	0	867	4.412587498	840	4.275171278	0	0	690	3.511747835	690	3.511747835	35418.48271	180.262	35318.47268	179.753	31492.74526	160.282	31819.49708	161.945	156.157	59977.8	152.6281952	438.409	84997.6	216.2972013
