sampleName	sampleGroup	region	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT
GTEX-WYVS-1726-SM-3NMAY	Breast	Breast - Mammary Tissue	BP-29770	RNA isolation_PAXgene Tissue miRNA	8/20/12	LCSET-2351	12/16/12	TrueSeq.v1
GTEX-X15G-1626-SM-3NMB3	Breast	Breast - Mammary Tissue	BP-30514	RNA isolation_PAXgene Tissue miRNA	9/4/12	LCSET-2385	12/16/12	TrueSeq.v1
GTEX-X4EP-2926-SM-3P5YQ	Breast	Breast - Mammary Tissue	BP-30683	RNA isolation_PAXgene Tissue miRNA	9/5/12	LCSET-2386	12/16/12	TrueSeq.v1
GTEX-XMD2-0926-SM-4WWEF	Breast	Breast - Mammary Tissue	BP-32501	RNA isolation_PAXgene Tissue miRNA	10/24/12	LCSET-4180	11/2/13	TrueSeq.v1
GTEX-XUJ4-1926-SM-4BOOV	Breast	Breast - Mammary Tissue	BP-34273	RNA isolation_PAXgene Tissue miRNA	12/12/12	LCSET-3145	7/3/13	TrueSeq.v1
GTEX-XUW1-2326-SM-4BOO5	Breast	Breast - Mammary Tissue	BP-34317	RNA isolation_PAXgene Tissue miRNA	12/13/12	LCSET-3145	7/3/13	TrueSeq.v1
GTEX-XUZC-1626-SM-4BRVP	Breast	Breast - Mammary Tissue	BP-34430	RNA isolation_PAXgene Tissue miRNA	12/17/12	LCSET-3152	5/27/13	TrueSeq.v1
GTEX-XV7Q-2326-SM-4BRVZ	Breast	Breast - Mammary Tissue	BP-34730	RNA isolation_PAXgene Tissue miRNA	12/27/12	LCSET-3152	5/27/13	TrueSeq.v1
GTEX-Y114-2026-SM-4TT7L	Breast	Breast - Mammary Tissue	BP-35709	RNA isolation_PAXgene Tissue miRNA	2/4/13	LCSET-4016	9/28/13	TrueSeq.v1
GTEX-Y3IK-2326-SM-4WWDT	Breast	Breast - Mammary Tissue	BP-35836	RNA isolation_PAXgene Tissue miRNA	2/6/13	LCSET-4180	11/2/13	TrueSeq.v1
GTEX-Y5LM-1726-SM-4VDSX	Breast	Breast - Mammary Tissue	BP-41604	RNA Extraction from Paxgene-derived Lysate Plate Based	7/31/13	LCSET-4040	10/17/13	TrueSeq.v1
GTEX-Y5V5-2126-SM-4WWFO	Breast	Breast - Mammary Tissue	BP-41604	RNA Extraction from Paxgene-derived Lysate Plate Based	7/31/13	LCSET-4180	11/2/13	TrueSeq.v1
GTEX-Y8LW-1626-SM-5IFHX	Breast	Breast - Mammary Tissue	BP-45268	RNA Extraction from Paxgene-derived Lysate Plate Based	10/29/13	LCSET-4830	3/20/14	TrueSeq.v1
GTEX-YB5K-1626-SM-5IFIN	Breast	Breast - Mammary Tissue	BP-45268	RNA Extraction from Paxgene-derived Lysate Plate Based	10/29/13	LCSET-4830	3/20/14	TrueSeq.v1
GTEX-YFC4-1426-SM-5IFJG	Breast	Breast - Mammary Tissue	BP-45247	RNA Extraction from Paxgene-derived Lysate Plate Based	10/29/13	LCSET-4830	3/20/14	TrueSeq.v1
GTEX-YJ8O-2226-SM-5IFHW	Breast	Breast - Mammary Tissue	BP-45268	RNA Extraction from Paxgene-derived Lysate Plate Based	10/29/13	LCSET-4830	3/20/14	TrueSeq.v1
GTEX-ZAJG-0626-SM-5HL8X	Breast	Breast - Mammary Tissue	BP-45268	RNA Extraction from Paxgene-derived Lysate Plate Based	10/29/13	LCSET-4807	2/28/14	TrueSeq.v1
GTEX-ZC5H-2626-SM-5J2MG	Breast	Breast - Mammary Tissue	BP-45485	RNA Extraction from Paxgene-derived Lysate Plate Based	11/5/13	LCSET-4817	3/22/14	TrueSeq.v1
GTEX-ZF29-1926-SM-5S2P1	Breast	Breast - Mammary Tissue	BP-42869	RNA Extraction from Paxgene-derived Lysate Plate Based	8/29/13	LCSET-4988	3/31/14	TrueSeq.v1
GTEX-ZF2S-2026-SM-5E461	Breast	Breast - Mammary Tissue	BP-42826	RNA Extraction from Paxgene-derived Lysate Plate Based	8/28/13	LCSET-4635	2/13/14	TrueSeq.v1
GTEX-ZF3C-2326-SM-5S2MZ	Breast	Breast - Mammary Tissue	BP-42826	RNA Extraction from Paxgene-derived Lysate Plate Based	8/28/13	LCSET-4988	3/31/14	TrueSeq.v1
GTEX-ZLV1-1426-SM-4WWES	Breast	Breast - Mammary Tissue	BP-43072	RNA Extraction from Paxgene-derived Lysate Plate Based	9/4/13	LCSET-4180	11/2/13	TrueSeq.v1
GTEX-ZPIC-1126-SM-5BC7F	Breast	Breast - Mammary Tissue	BP-43141	RNA Extraction from Paxgene-derived Lysate Plate Based	9/5/13	LCSET-4455	1/18/14	TrueSeq.v1
GTEX-ZQG8-0726-SM-5P9H9	Breast	Breast - Mammary Tissue	BP-43231	RNA Extraction from Paxgene-derived Lysate Plate Based	9/6/13	LCSET-4914	3/27/14	TrueSeq.v1
GTEX-ZV6S-1826-SM-5NQ8D	Breast	Breast - Mammary Tissue	BP-43639	RNA Extraction from Paxgene-derived Lysate Plate Based	9/16/13	LCSET-4906	3/22/14	TrueSeq.v1
GTEX-ZVT2-1826-SM-5NQ8W	Breast	Breast - Mammary Tissue	BP-43495	RNA Extraction from Paxgene-derived Lysate Plate Based	9/12/13	LCSET-4906	3/22/14	TrueSeq.v1
GTEX-ZVT4-1026-SM-57WC4	Breast	Breast - Mammary Tissue	BP-43375	RNA Extraction from Paxgene-derived Lysate Plate Based	9/10/13	LCSET-4415	12/21/13	TrueSeq.v1
GTEX-ZVZQ-0826-SM-51MRF	Breast	Breast - Mammary Tissue	BP-43375	RNA Extraction from Paxgene-derived Lysate Plate Based	9/10/13	LCSET-4207	11/20/13	TrueSeq.v1
GTEX-ZXES-0826-SM-5E43C	Breast	Breast - Mammary Tissue	BP-43441	RNA Extraction from Paxgene-derived Lysate Plate Based	9/11/13	LCSET-4635	2/13/14	TrueSeq.v1
GTEX-ZYWO-2326-SM-5GZY4	Breast	Breast - Mammary Tissue	BP-43693	RNA Extraction from Paxgene-derived Lysate Plate Based	9/17/13	LCSET-4804	3/5/14	TrueSeq.v1
GTEX-S32W-1526-SM-4AD6Z	Cervix Uteri	Cervix - Ectocervix	BP-22720	RNA isolation_PAXgene Tissue miRNA	2/28/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S341-1126-SM-4AD6T	Cervix Uteri	Cervix - Ectocervix	BP-22768	RNA isolation_PAXgene Tissue miRNA	2/29/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S4UY-1426-SM-4AD6Y	Cervix Uteri	Cervix - Ectocervix	BP-22893	RNA isolation_PAXgene Tissue miRNA	3/6/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-TSE9-2826-SM-4DXTF	Cervix Uteri	Cervix - Ectocervix	BP-25328	RNA isolation_PAXgene Tissue miRNA	5/14/12	LCSET-3206	6/4/13	TrueSeq.v1
GTEX-S32W-1626-SM-4AD6G	Cervix Uteri	Cervix - Endocervix	BP-22720	RNA isolation_PAXgene Tissue miRNA	2/28/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-S341-1326-SM-4AD72	Cervix Uteri	Cervix - Endocervix	BP-22768	RNA isolation_PAXgene Tissue miRNA	2/29/12	LCSET-3098	5/14/13	TrueSeq.v1
GTEX-T6MO-1426-SM-4DM73	Cervix Uteri	Cervix - Endocervix	BP-24887	RNA isolation_PAXgene Tissue miRNA	5/1/12	LCSET-3205	5/31/13	TrueSeq.v1
GTEX-TSE9-2726-SM-4DXSQ	Cervix Uteri	Cervix - Endocervix	BP-25328	RNA isolation_PAXgene Tissue miRNA	5/14/12	LCSET-3206	6/4/13	TrueSeq.v1
GTEX-111CU-1226-SM-5EGIN	Colon	Colon - Sigmoid	BP-43529	RNA Extraction from Paxgene-derived Lysate Plate Based	9/13/13	LCSET-4764	2/8/14	TrueSeq.v1
GTEX-111YS-1826-SM-5GIEP	Colon	Colon - Sigmoid	BP-44261	RNA Extraction from Paxgene-derived Lysate Plate Based	10/3/13	LCSET-4796	2/27/14	TrueSeq.v1
GTEX-1122O-1426-SM-5H11R	Colon	Colon - Sigmoid	BP-43693	RNA Extraction from Paxgene-derived Lysate Plate Based	9/17/13	LCSET-4805	2/27/14	TrueSeq.v1
GTEX-117XS-2226-SM-5GIE1	Colon	Colon - Sigmoid	BP-44261	RNA Extraction from Paxgene-derived Lysate Plate Based	10/3/13	LCSET-4796	2/27/14	TrueSeq.v1
GTEX-117YX-0526-SM-5EGJH	Colon	Colon - Sigmoid	BP-44460	RNA Extraction from Paxgene-derived Lysate Plate Based	10/8/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-11DXX-1926-SM-5EGJK	Colon	Colon - Sigmoid	BP-44460	RNA Extraction from Paxgene-derived Lysate Plate Based	10/8/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-11DXY-2026-SM-5N9CZ	Colon	Colon - Sigmoid	BP-43989	RNA Extraction from Paxgene-derived Lysate Plate Based	9/26/13	LCSET-4904	3/22/14	TrueSeq.v1
GTEX-11DXZ-1626-SM-5GIDI	Colon	Colon - Sigmoid	BP-44261	RNA Extraction from Paxgene-derived Lysate Plate Based	10/3/13	LCSET-4796	2/27/14	TrueSeq.v1
GTEX-11EI6-2626-SM-5PNVT	Colon	Colon - Sigmoid	BP-47888	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4917	3/27/14	TrueSeq.v1
GTEX-11EMC-1426-SM-5N9E4	Colon	Colon - Sigmoid	BP-43783	RNA Extraction from Paxgene-derived Lysate Plate Based	9/19/13	LCSET-4905	3/23/14	TrueSeq.v1
GTEX-11EQ9-1526-SM-5PNY7	Colon	Colon - Sigmoid	BP-47888	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4918	3/29/14	TrueSeq.v1
GTEX-11GS4-1826-SM-5HL4T	Colon	Colon - Sigmoid	BP-43730	RNA Extraction from Paxgene-derived Lysate Plate Based	9/18/13	LCSET-4806	3/2/14	TrueSeq.v1
GTEX-11I78-1326-SM-5PNY9	Colon	Colon - Sigmoid	BP-47888	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4918	3/29/14	TrueSeq.v1
GTEX-11ONC-1926-SM-5GU75	Colon	Colon - Sigmoid	BP-44312	RNA Extraction from Paxgene-derived Lysate Plate Based	10/4/13	LCSET-4803	2/19/14	TrueSeq.v1
GTEX-11P7K-1826-SM-5HL5A	Colon	Colon - Sigmoid	BP-43730	RNA Extraction from Paxgene-derived Lysate Plate Based	9/18/13	LCSET-4806	3/2/14	TrueSeq.v1
GTEX-11P81-1426-SM-5P9JN	Colon	Colon - Sigmoid	BP-47888	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4916	3/27/14	TrueSeq.v1
GTEX-11PRG-2026-SM-5GU5F	Colon	Colon - Sigmoid	BP-44312	RNA Extraction from Paxgene-derived Lysate Plate Based	10/4/13	LCSET-4803	2/19/14	TrueSeq.v1
GTEX-11TT1-0926-SM-5GU5M	Colon	Colon - Sigmoid	BP-43753	RNA Extraction from Paxgene-derived Lysate Plate Based	9/19/13	LCSET-4803	2/19/14	TrueSeq.v1
GTEX-11TUW-2326-SM-5EQMO	Colon	Colon - Sigmoid	BP-44114	RNA Extraction from Paxgene-derived Lysate Plate Based	9/30/13	LCSET-4790	2/19/14	TrueSeq.v1
GTEX-11ZTS-1526-SM-5N9G7	Colon	Colon - Sigmoid	BP-43823	RNA Extraction from Paxgene-derived Lysate Plate Based	9/20/13	LCSET-4905	3/23/14	TrueSeq.v1
GTEX-11ZTT-1626-SM-5EQKR	Colon	Colon - Sigmoid	BP-44114	RNA Extraction from Paxgene-derived Lysate Plate Based	9/30/13	LCSET-4790	2/19/14	TrueSeq.v1
GTEX-11ZU8-1126-SM-5EQ5K	Colon	Colon - Sigmoid	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4767	2/8/14	TrueSeq.v1
GTEX-1211K-1826-SM-5EGJ2	Colon	Colon - Sigmoid	BP-44399	RNA Extraction from Paxgene-derived Lysate Plate Based	10/7/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-1212Z-1826-SM-5FQSH	Colon	Colon - Sigmoid	BP-43881	RNA Extraction from Paxgene-derived Lysate Plate Based	9/23/13	LCSET-4793	2/19/14	TrueSeq.v1
GTEX-12696-1926-SM-5EGJT	Colon	Colon - Sigmoid	BP-44525	RNA Extraction from Paxgene-derived Lysate Plate Based	10/10/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-12BJ1-2026-SM-5FQUH	Colon	Colon - Sigmoid	BP-44157	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4793	2/19/14	TrueSeq.v1
GTEX-12WSG-2426-SM-5EQLZ	Colon	Colon - Sigmoid	BP-44399	RNA Extraction from Paxgene-derived Lysate Plate Based	10/7/13	LCSET-4790	2/19/14	TrueSeq.v1
GTEX-12WSJ-1426-SM-5GCON	Colon	Colon - Sigmoid	BP-43881	RNA Extraction from Paxgene-derived Lysate Plate Based	9/23/13	LCSET-4795	2/23/14	TrueSeq.v1
GTEX-12WSL-1826-SM-5LZW9	Colon	Colon - Sigmoid	BP-45139	RNA Extraction from Paxgene-derived Lysate Plate Based	10/28/13	LCSET-4900	3/23/14	TrueSeq.v1
GTEX-12ZZX-2726-SM-5N9FT	Colon	Colon - Sigmoid	BP-44172	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4905	3/23/14	TrueSeq.v1
GTEX-12ZZY-2726-SM-5EQ45	Colon	Colon - Sigmoid	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4767	2/8/14	TrueSeq.v1
GTEX-13111-1926-SM-5GCOL	Colon	Colon - Sigmoid	BP-44172	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4795	2/23/14	TrueSeq.v1
GTEX-131XE-1026-SM-5EGKE	Colon	Colon - Sigmoid	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-131XG-1526-SM-5GCNQ	Colon	Colon - Sigmoid	BP-44172	RNA Extraction from Paxgene-derived Lysate Plate Based	10/1/13	LCSET-4795	2/23/14	TrueSeq.v1
GTEX-131YS-2926-SM-5EGKI	Colon	Colon - Sigmoid	BP-44901	RNA Extraction from Paxgene-derived Lysate Plate Based	10/22/13	LCSET-4797	2/11/14	TrueSeq.v1
GTEX-132AR-2826-SM-5IJFV	Colon	Colon - Sigmoid	BP-46453	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4815	3/13/14	TrueSeq.v1
GTEX-132NY-2726-SM-5PNY2	Colon	Colon - Sigmoid	BP-47901	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4918	3/29/14	TrueSeq.v1
GTEX-1339X-1726-SM-5P9J9	Colon	Colon - Sigmoid	BP-47901	RNA Extraction from Paxgene-derived Lysate Plate Based	1/6/14	LCSET-4916	3/27/14	TrueSeq.v1
GTEX-1399R-2126-SM-5K7WZ	Colon	Colon - Sigmoid	BP-46482	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4819	3/16/14	TrueSeq.v1
GTEX-13CF2-1826-SM-5N9GK	Colon	Colon - Sigmoid	BP-46978	RNA Extraction from Paxgene-derived Lysate Plate Based	12/11/13	LCSET-4905	3/23/14	TrueSeq.v1
GTEX-13CF3-1326-SM-5LZXZ	Colon	Colon - Sigmoid	BP-45782	RNA Extraction from Paxgene-derived Lysate Plate Based	11/14/13	LCSET-4901	3/23/14	TrueSeq.v1
GTEX-13D11-0626-SM-5LZYY	Colon	Colon - Sigmoid	BP-45782	RNA Extraction from Paxgene-derived Lysate Plate Based	11/14/13	LCSET-4901	3/23/14	TrueSeq.v1
GTEX-13FH7-1626-SM-5J2O9	Colon	Colon - Sigmoid	BP-46453	RNA Extraction from Paxgene-derived Lysate Plate Based	12/3/13	LCSET-4817	3/22/14	TrueSeq.v1
GTEX-13FHO-2726-SM-5K7VG	Colon	Colon - Sigmoid	BP-46925	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4818	3/12/14	TrueSeq.v1
GTEX-13G51-2126-SM-5IJD9	Colon	Colon - Sigmoid	BP-46943	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4814	3/4/14	TrueSeq.v1
GTEX-13N2G-2226-SM-5IJCU	Colon	Colon - Sigmoid	BP-46925	RNA Extraction from Paxgene-derived Lysate Plate Based	12/10/13	LCSET-4814	3/4/14	TrueSeq.v1
GTEX-13O1R-2426-SM-5KLZZ	Colon	Colon - Sigmoid	BP-47051	RNA Extraction from Paxgene-derived Lysate Plate Based	12/12/13	LCSET-4820	3/20/14	TrueSeq.v1
