gdc-xena	gdc-recount	gdc-mskcc	gdc-piccolo	xena-recount	xena-piccolo	xena-mskcc	recount-piccolo	recount-mskcc	mskcc-piccolo
SCNM1	0	0	0	2551	0	4507	0	2387	0	4478
THEM5	438	0	438	0	96	119	0	0	97	119
LCE1F	85	0	27	0	11	1	0	0	0	0
SPRR1A	126	6	78	10	136	9	2	77	117	0
SPRR2B	0	301	0	85	423	130	0	62	372	108
SPRR2F	0	28	0	0	83	1	0	26	84	1
S100A7A	0	5	0	2	55	9	0	0	26	3
S100A13	14	32	1	0	6	6	12	5	0	0
RPS27	6	4800	5	4800	4800	4800	0	8	4800	4800
TPM3	0	0	0	0	0	4543	0	1	0	4719
PYGO2	5	1	0	0	261	5	0	4	259	0
CKS1B	4	0	2885	0	1268	1338	4603	0	2313	2300
KRTCAP2	4797	1527	4799	4800	2649	2	3	4564	2477	0
MTX1	80	0	68	0	0	0	9	0	0	0
HCN3	2	0	1	69	2	8	1	75	1	7
SSR2	0	0	0	20	0	8	1	637	0	0
PMF1-BGLAP	0	4799	0	0	4798	2	0	4799	4798	0
TMEM79	3	785	0	0	1922	4	1	1011	1914	1
ETV3	2	0	0	163	2	4	5	122	0	0
SDHC	4791	0	4692	0	4785	4466	0	0	4629	629
FCGR2B	80	0	85	0	1	0	0	0	0	0
FCGR3B	4	191	1	0	86	4	2	138	93	1
MGST3	4550	0	4732	0	4594	0	0	27	4745	0
SFT2D2	15	0	1	34	14	21	17	34	0	0
NME7	76	911	394	0	280	40	53	279	122	151
CACYBP	2	0	1	0	3	59	0	0	1	36
SEC16B	39	182	50	272	1	18	0	1	8	26
C1orf21	17	0	4	0	30	99	2	0	18	89
CFHR1	0	314	2	10	308	9	1	159	307	8
CFHR2	164	172	167	169	51	11	5	0	0	0
TMEM183A	0	0	0	3735	0	4536	0	3657	0	4599
ZBED6	21	0	0	0	46	21	22	0	15	0
SNRPE	4	0	0	2268	9	4694	4	0	6	4723
SRGAP2	29	0	115	0	19	19	5	0	12	8
IL24	1	0	2	55	1	2	0	28	0	1
NSL1	1	0	0	1476	1	757	0	1234	0	1503
PROX1	4	0	0	45	3	4	3	35	0	0
AIDA	22	2	8	0	6	49	4	12	0	25
BROX	5	0	0	108	6	12	6	92	0	0
CNIH4	0	0	0	16	0	6	0	49	0	4
DNAH14	103	0	86	0	106	110	18	0	90	95
LEFTY2	1	51	1	6	49	7	0	6	50	7
H3F3A	4793	1648	4797	3820	4604	4800	5	4799	641	4800
HIST3H2A	15	0	735	0	16	13	18	0	615	95
RNF187	11	0	0	0	9	1	73	0	0	0
RHOU	9	0	0	0	6	0	147	0	0	0
NTPCR	4615	0	4630	4751	4600	1	1	4750	4620	0
RBM34	4665	4389	4698	4377	2	2	1	0	1	1
ARID4B	6	1	0	0	34	4	11	1	40	0
EDARADD	0	3560	0	4703	3964	4763	0	3265	3909	4746
HEATR1	9	3	0	0	634	4	9	67	1056	0
KMO	0	353	0	0	335	0	0	401	336	0
OPN3	1	131	0	0	10	7	0	475	10	4
SDCCAG8	73	0	92	0	8	53	2	0	3	61
COX20	4532	3988	4579	1	5	4533	4	4010	2	4580
SMYD3	1574	0	1592	2309	13	0	0	0	0	0
SH3YL1	31	0	21	6	41	1	0	231	36	0
TRAPPC12	316	0	81	0	774	4	0	1	423	0
RPS7	4686	2362	4725	0	4800	4757	0	5	4800	4772
ASAP2	3	41	0	8	51	9	8	0	80	13
IAH1	5	14	0	4108	0	0	0	4	0	0
ADAM17	3	1	0	0	128	3	7	0	108	0
ATP6V1C2	0	4700	0	0	4729	0	0	4737	4729	0
RDH14	0	0	0	4309	0	1848	0	4373	0	1659
CENPO	0	448	0	0	899	0	0	501	635	0
AGBL5	0	54	0	0	108	0	0	59	109	0
CGREF1	0	195	0	0	205	0	1	284	201	0
MPV17	25	0	0	0	30	2	4	38	0	0
IFT172	304	0	314	0	351	368	2	0	355	374
SPDYA	3	4103	0	0	4095	3	3	4103	4103	0
MEMO1	2274	64	2054	97	20	16	1	0	1	1
SLC3A1	1	91	1	0	83	1	0	83	84	1
PREPL	3	207	0	0	98	8	7	268	111	0
PIGF	17	103	1	0	1	4	2	23	0	0
STON1-GTF2A1L	2	133	2	0	131	2	0	134	132	2
GPR75-ASB3	50	1091	34	0	2	50	2	1091	0	34
RPS27A	5	16	6	3873	4695	4756	1	0	4707	4763
CCDC85A	0	9	0	0	53	2	0	0	64	2
REL	13	8	0	0	49	14	16	7	40	0
KIAA1841	4	0	140	0	5	5	160	0	146	164
C2orf74	274	1155	2	1305	0	0	0	0	1	1
AHSA2	22	397	1	0	170	18	17	189	177	1
USP34	756	5	844	0	16	15	10	0	1	1
COMMD1	2	494	0	0	102	3	0	22	83	0
SNRPG	1	0	0	0	2504	7	0	0	2539	4
NAGK	582	0	717	0	655	0	0	1	806	0
BOLA3	11	0	5	1	128	0	0	31	71	0
MTHFD2	0	94	0	0	129	0	0	83	129	0
INO80B	361	4434	2311	2	17	2124	5	4495	0	3771
WBP1	2802	3358	3206	1137	1	4630	0	4670	0	4684
MRPL53	4673	4764	4625	4790	1	3	0	0	0	0
CCDC142	1	2079	0	0	2228	1	0	2319	2328	0
GGCX	0	30	0	0	12	1	0	161	10	0
CHMP3	3	0	7	4524	0	4701	0	4642	0	4731
RNF103-CHMP3	0	4783	0	0	4783	0	0	4783	4783	0
PLGLB1	116	115	112	0	11	116	11	115	0	112
PLGLB2	140	143	144	0	4	140	0	143	4	144
ANKRD23	37	91	38	57	12	0	0	5	10	0
ANKRD39	0	44	0	13	27	4	0	21	27	1
C2orf15	78	0	260	0	90	79	185	0	242	256
MRPL30	0	1	2361	0	2	1	191	1	592	319
RPL31	4780	0	4791	0	4794	4664	1	1	4798	4686
POU3F3	2	0	1	16	235	1	0	70	240	1
MALL	1987	2875	1900	77	0	12	1	12	1	1
CHCHD5	7	0	1	4	6	18	7	75	0	0
CBWD2	2488	9	842	170	35	9	6	0	0	0
SFT2D3	0	423	0	147	423	144	0	0	398	113
RAB6C	0	33	0	287	59	322	0	3	58	321
MZT2A	1009	0	1135	52	76	16	15	8	56	1
ANKRD30BL	0	0	0	107	0	107	0	107	0	107
GPR39	0	224	0	0	285	0	0	314	283	0
LYPD1	0	349	0	0	264	0	0	834	268	0
KYNU	389	0	63	946	517	0	2	948	165	0
NEB	31	0	84	0	42	119	3	0	82	184
CACNB4	0	1277	0	0	1287	0	0	1275	1289	0
MARCH7	3	47	0	0	99	1	6	36	87	0
CD302	10	1707	0	182	1037	344	8	2683	781	364
LY75-CD302	0	1166	0	0	1164	0	0	1166	1166	0
LY75	6	29	0	0	7	23	2	359	0	28
CERS6	9	9	0	0	698	7	8	26	37	0
KLHL23	3	0	0	676	3	84	4	665	0	65
OLA1	3	0	1	0	4	136	0	0	2	69
ATP5G3	37	0	20	0	180	7	3	0	114	2
HOXD9	7	0	87	0	6	3	0	0	22	1
HNRNPA3	7	0	0	11	19	1674	18	1	2	1439
CERKL	1	0	0	55	1	4	1	26	0	1
HSPE1	3	0	0	203	6	3231	1	45	2	1305
HSPE1-MOB4	21	4800	27	0	4800	21	0	4800	4800	27
MOB4	2	0	0	2195	0	2262	0	3857	0	2078
CFLAR	107	1	99	0	112	85	9	1	99	72
WDR12	41	0	55	0	115	0	0	0	145	0
NBEAL1	20	4483	0	0	4477	21	20	4498	4495	0
ABI2	201	51	210	0	28	8	6	7	16	0
RAPH1	71	1301	30	643	7	11	17	0	1	0
PTH2R	2	0	1	264	3	223	1	127	1	221
MREG	0	0	72	0	0	0	0	0	29	0
RPL37A	4785	0	4800	4800	4786	0	0	4799	4800	0
NHEJ1	149	591	151	539	0	0	0	0	0	0
ABCB6	1902	1377	2236	1994	0	1	0	1	0	1
CUL3	62	0	34	0	16	10	1	0	1	0
SP110	853	15	1196	879	13	8	3	1	0	0
EIF4E2	9	0	7	14	11	0	0	49	7	0
C2orf82	3	0	1	15	2	114	0	14	1	101
UGT1A8	1	1810	208	0	1796	10	237	1814	1770	194
UGT1A10	15	1671	14	0	1393	36	0	1727	1391	35
UGT1A9	1	1671	115	0	1562	12	239	1808	1807	21
UGT1A7	24	1562	18	0	1406	17	4	1537	1407	11
UGT1A6	893	1493	828	0	356	432	2	1166	389	353
UGT1A4	2	1793	1	0	1768	13	0	1793	1768	12
UGT1A1	24	1601	555	0	1510	18	542	1595	1162	556
UBE2F-SCLY	0	4003	0	0	4003	0	0	4003	4003	0
SCLY	192	9	213	0	9	192	0	9	1	213
TWIST2	0	0	92	3	0	1	2	3	60	0
NDUFA10	3	0	14	0	3	1	1	0	102	2
CAMK1	18	124	10	407	5	8	0	0	1	1
TTLL3	21	0	1	6	18	591	15	216	1	502
ATG7	15	978	0	0	292	15	7	766	207	0
VGLL4	5	67	1	0	0	7	0	105	0	1
RPL32	96	0	83	0	4604	4707	0	0	4631	4732
LSM3	12	0	7	0	4	4736	0	2	2	4738
NR2C2	10	0	29	0	9	12	19	0	205	12
SH3BP5	74	2393	37	0	2	176	2	2968	1	130
RPL15	2086	0	2254	0	3813	4608	0	0	4031	4718
CMC1	3519	7	3430	4375	605	4	2	1859	534	0
CMTM7	3	72	0	0	33	4	2	16	44	2
DLEC1	0	143	0	0	145	0	0	144	145	0
RPSA	2	0	4	0	4715	773	5	0	4753	1657
RPL14	4756	0	4775	6	4791	8	0	4677	4799	8
CCDC13	0	74	0	0	73	0	0	74	73	0
KRBOX1	47	0	37	190	0	0	1	1	0	0
ZDHHC3	1	1	1	0	0	105	0	1	0	91
EXOSC7	1	73	1	0	8	0	0	4	9	0
CCDC12	0	0	0	0	0	13	2	43	0	1
SPINK8	211	0	218	0	25	3	0	0	27	4
CCDC51	8	11	1	0	475	8	0	15	502	1
ATRIP	8	322	12	213	0	1	0	0	0	0
TREX1	2210	1364	1992	1370	3	2	3	0	0	0
PRKAR2A	6	1	0	234	5	3	0	158	1	1
DALRD3	0	554	8	0	236	0	2	717	4	13
NICN1	2	4	1	0	54	2	3	21	68	0
TUSC2	3	16	0	0	286	1	0	31	258	0
CYB561D2	2962	0	0	0	4237	3391	1821	0	3	0
HEMK1	34	0	37	0	51	1	0	0	54	1
ABHD14A-ACY1	0	3494	0	0	3494	0	0	3494	3494	0
ACY1	3760	2962	3776	1	3	3776	5	3087	0	3790
ITIH4	245	242	240	252	4	4	4	0	0	0
MUSTN1	136	305	137	57	6	1	0	146	6	2
TMEM110-MUSTN1	1	266	0	0	227	1	0	266	224	0
TMEM110	67	281	65	15	0	24	1	0	0	26
CHDH	3	2	0	0	65	4	0	2	52	0
FHIT	54	0	1	0	71	2	3	1	0	0
PSMD6	6	0	1	3472	8	0	0	4197	1	0
SLC25A26	1	651	1	0	228	1	0	418	232	1
GPR27	1	0	0	463	1	12	0	386	0	12
CPOX	1	1	0	0	126	1	0	2	125	0
NIT2	7	0	4	10	50	0	0	26	10	0
RPL24	3	0	5	0	4191	2	0	0	4160	3
PLCXD2	445	0	444	40	471	481	1	9	471	480
ZBTB20	25	148	0	0	167	27	25	147	145	0
SEMA5B	2	1	1	721	1	735	1	725	0	728
KALRN	34	0	16	0	46	142	4	0	24	121
RAB43	174	2255	204	0	79	178	0	2255	2	208
ISY1-RAB43	7	4397	0	0	3600	7	0	4397	4368	0
ISY1	0	0	0	0	1	116	1	677	0	272
ACAD11	517	848	508	0	3	517	10	848	0	508
HPS3	1	651	0	0	842	1	1	789	820	0
TM4SF18	72	1	59	0	10	11	1	1	9	8
P2RY1	0	0	123	7	0	0	0	6	107	0
RAP2B	17	1	745	0	1	1	8	0	0	0
SCHIP1	23	1478	39	0	1359	25	0	1478	1326	41
TRIM59	4	740	0	0	798	3	4	325	724	0
RPL22L1	6	0	5	0	4	1567	0	1	3	1503
GNB4	6	0	46	0	10	5	8	0	432	51
FXR1	14	0	0	0	20	536	2	0	1	250
DNAJC19	2	0	1	0	9	627	0	1	0	1027
MAP3K13	15	0	3	0	15	515	0	0	5	878
DNAJB11	91	0	80	0	164	2	0	0	130	3
RPL39L	20	20	10	48	52	66	0	2	44	56
TM4SF19	1	569	0	1	154	56	2	758	166	42
RPL35A	35	0	23	1	178	0	0	104	137	0
ZNF595	5	0	7	6	5	121	6	27	0	143
MYL5	2	1759	1	1	625	2	0	262	633	1
LRPAP1	4	0	1	0	4	2618	8	0	1	3011
TBC1D14	3	328	1	0	0	20	0	1397	0	9
CPZ	328	807	329	694	1	1	0	0	0	0
HS3ST1	0	0	0	0	0	488	1	0	0	354
FAM200B	8	0	2	0	19	493	3	0	8	633
FGFBP2	0	199	0	1	239	1	0	213	239	1
PI4K2B	1683	3	1	0	2809	1438	530	0	0	0
RELL1	10	6	0	30	65	171	8	32	56	169
RPL9	50	4428	678	1978	4799	4794	0	1	4800	4799
POLR2B	0	12	0	0	84	0	0	6	74	0
UGT2B17	0	103	0	0	121	0	0	137	119	0
ENAM	0	451	0	0	456	0	0	455	456	0
MTHFD2L	15	0	1	1	16	50	7	1	0	87
AREG	1	0	64	1965	1	778	13	1938	54	879
FAM47E	24	0	120	0	0	0	128	0	120	118
FAM47E-STBD1	224	2223	90	0	261	224	4	2223	1951	90
BMP2K	23	98	0	0	13	15	15	0	0	0
PAQR3	15	179	5	0	52	9	5	64	22	5
MRPS18C	1667	1	2041	0	72	11	0	0	70	9
HERC3	1276	963	136	0	30	1058	569	779	617	100
PIGY	1300	4800	621	4796	4777	3718	10	1	4796	4293
EIF4E	4170	0	3744	0	3844	3267	1	0	3235	2454
ADH1A	0	64	0	4	68	4	0	28	68	4
CISD2	0	0	0	161	0	16	0	131	0	19
BDH2	0	0	0	139	0	1485	1	6	0	1543
RPL34	4454	0	4447	0	4761	237	0	1	4765	207
PLA2G12A	0	0	0	0	1	72	0	0	0	85
RPS3A	1648	21	1373	7	4789	4780	0	2	4796	4796
SH3D19	1	259	0	0	1042	3	10	385	1101	0
TMEM154	2	0	0	0	2	13	6	0	0	114
SCRG1	0	0	0	1	0	110	0	3	0	110
RWDD4	1	0	0	7	1	36	1	1	0	22
UFSP2	0	15	0	0	43	0	0	17	53	0
SORBS2	54	0	33	0	68	43	6	0	46	21
CCDC127	1	0	1	8	1	2822	0	120	1	2813
PDCD6	349	0	123	4787	943	0	0	4794	455	0
SLC9A3	68	1	66	6	266	266	0	1	264	265
NDUFS6	23	0	5	0	18	51	7	1	0	24
PAPD7	1693	1	1	0	670	941	227	0	0	0
ANKRD33B	1	0	410	0	1	1	36	0	405	235
SUB1	3392	0	3741	0	4381	1909	1	0	4539	2035
AMACR	149	1300	237	0	1	1698	0	2004	0	1707
RPL37	4788	0	4798	0	4791	499	0	1	4799	382
CCDC152	1	4451	6	0	4454	11	0	4454	4453	32
PAIP1	1	0	0	1361	3	2842	0	2	0	2710
SKIV2L2	0	199	0	0	354	1	2	291	399	0
GTF2H2C	643	66	772	0	23	643	7	67	0	772
SERF1A	2	154	0	0	100	2	2	154	108	0
SMN1	2661	2521	3029	0	8	2687	1	2688	5	3044
NAIP	94	17	83	0	21	93	16	16	1	80
GTF2H2	82	42	51	255	16	20	11	1	0	20
FOXD1	0	0	101	0	0	0	19	0	156	74
ZBED3	2	0	1	152	4	4	4	243	1	0
TBCA	130	0	189	0	433	2173	0	0	571	2219
SERINC5	5	0	484	0	5	4	39	0	425	291
ATG10	0	4783	0	0	4778	0	0	4766	4779	0
RPS23	4766	0	4772	0	4770	4780	1	0	4793	4797
GLRX	136	0	31	0	168	0	0	0	40	0
LNPEP	18	0	15	106	19	29	26	81	7	0
SLCO4C1	1	0	313	0	1	0	1	0	268	36
SRP19	891	0	571	0	2	18	0	0	0	4
TMED7-TICAM2	0	2008	0	0	1995	0	0	2008	1999	0
TICAM2	0	103	0	0	57	0	0	103	61	0
SRFBP1	10	33	0	0	278	3	1	95	272	0
ALDH7A1	0	1	0	1428	4183	4132	0	0	4245	4194
ACSL6	26	0	1	0	50	43	48	0	0	0
GDF9	0	307	0	0	320	0	0	308	322	0
SKP1	4796	0	4800	0	4798	166	0	0	4800	196
H2AFY	970	0	1116	4795	1005	0	0	4778	1140	0
HNRNPA0	15	0	0	0	13	4767	7	0	0	0
MATR3	4795	4795	4797	4774	1	6	0	1	0	2
ECSCR	0	36	14	0	6	5	5	0	0	0
ANKHD1	3953	3979	4210	0	11	3953	9	3978	0	4210
ANKHD1-EIF4EBP3	140	4200	15	0	1764	140	4	4200	3661	15
EIF4EBP3	6	1447	3	0	571	34	10	4556	187	73
DND1	0	439	0	30	437	29	0	0	437	29
PCDHA1	0	545	0	0	550	0	0	558	550	0
PCDHA2	0	466	0	0	466	0	0	466	466	0
PCDHA3	0	283	0	0	279	0	0	285	279	0
PCDHA5	0	285	0	0	285	0	0	285	285	0
PCDHA6	0	477	0	0	460	0	0	480	461	0
PCDHA7	0	511	0	0	508	0	0	514	509	0
PCDHA8	0	568	0	0	568	0	0	568	568	0
PCDHA9	0	106	0	0	106	0	0	106	106	0
PCDHA11	0	485	0	0	479	0	0	503	487	0
PCDHA12	0	650	0	0	646	0	0	653	649	0
PCDHA13	0	614	0	0	613	0	0	614	613	0
PCDHAC1	0	335	0	0	344	0	0	347	345	0
PCDHAC2	0	443	0	0	454	0	0	465	461	0
PCDHGA1	0	3817	0	0	3818	0	0	3818	3818	0
PCDHGA2	0	3701	0	0	3712	0	0	3713	3712	0
PCDHGA3	0	4121	0	0	4122	0	0	4122	4119	0
PCDHGB1	0	4151	0	0	4154	0	0	4153	4155	0
PCDHGA4	0	4128	0	0	4131	0	0	4131	4133	0
PCDHGB2	0	4150	0	0	4162	0	0	4164	4157	0
PCDHGA5	0	3914	0	0	3915	0	0	3917	3914	0
PCDHGB3	0	4141	0	0	4142	0	0	4142	4142	0
PCDHGA6	0	3411	0	0	3412	0	0	3413	3409	0
PCDHGA7	0	3983	0	0	3983	0	0	3984	3983	0
PCDHGB4	0	3683	2	0	3670	0	1	3682	3650	2
PCDHGA8	0	3198	0	0	3195	0	0	3198	3191	0
PCDHGA9	0	4141	0	0	4150	0	0	4150	4149	0
PCDHGB6	0	3713	0	0	3712	0	0	3715	3698	0
PCDHGA10	0	3725	0	0	3750	0	0	3760	3691	0
PCDHGB7	0	4099	0	0	4137	0	0	4139	4117	0
PCDHGA11	0	3891	0	0	3891	0	0	3893	3893	0
PCDHGA12	0	4148	0	0	4150	0	0	4150	4149	0
PCDHGC3	1008	3201	0	0	56	1653	842	4047	3364	0
PCDHGC5	0	4087	0	0	4091	0	0	4092	4088	0
RBM27	2	1	0	0	50	5	10	0	0	0
CSNK1A1	28	147	2	30	1	0	2	0	2	0
ARSI	0	0	0	443	0	542	0	450	0	549
RPS14	8	0	3	0	41	8	10	10	54	0
ATOX1	4750	0	4775	4799	4759	5	2	4799	4783	0
SAP30L	2	0	3	0	6	63	0	0	6	86
MRPL22	167	0	1	0	414	25	1	0	2	1
NUDCD2	2	0	4	4401	2	24	0	4511	3	11
KCNMB1	0	0	0	0	0	494	0	0	0	497
NPM1	39	0	70	0	4168	2737	0	0	4445	3439
RPL26L1	2	0	0	722	0	932	2	0	0	1015
HRH2	1	3	1	0	48	0	0	129	264	0
THOC3	2077	19	1019	2	2	6	2	0	0	1
NOP16	1	93	0	0	53	5	1	2	70	0
RAB24	10	502	8	170	10	7	1	0	0	1
MXD3	0	4608	0	0	4182	0	0	4630	4224	0
PRELID1	1	1	1	590	1	4374	0	4018	0	3991
GRK6	8	51	0	0	107	6	1	66	100	0
FAM153C	2	0	2	0	2	54	0	0	0	53
ZNF354C	0	21	0	0	139	0	0	61	145	0
LTC4S	25	58	25	126	0	0	0	0	0	0
RNF130	5	0	0	4425	6	0	0	4548	0	0
FOXQ1	1910	0	23	0	1869	1285	14	0	2	0
NQO2	1111	0	1336	3817	1357	5	4	3898	1606	0
TUBB2A	9	50	1	0	56	2	6	51	46	1
TUBB2B	1	1447	1	6	1528	3	0	1426	1527	4
PSMG4	1132	192	1248	1521	247	5	3	441	254	0
C6orf201	0	417	0	0	417	0	0	417	417	0
TXNDC5	4777	4798	4790	0	18	4779	4	4798	0	4791
TBC1D7	8	0	0	737	13	0	0	1625	4	0
KAAG1	0	139	0	0	171	0	0	167	171	0
TRIM38	3	0	1	0	2	518	0	0	0	1
HIST1H3B	50	0	15	0	38	34	32	1	0	0
HIST1H1E	118	0	7	0	44	41	39	0	0	0
HIST1H2BE	30	177	7	16	186	52	27	42	172	26
HIST1H4D	50	0	12	0	40	39	37	0	0	0
HIST1H3D	33	0	24	0	29	27	26	1	1	0
HIST1H2AD	32	0	313	340	33	81	50	420	390	32
HIST1H2BF	53	0	74	0	27	31	19	0	0	27
HIST1H4E	53	39	207	0	36	40	46	0	0	37
HIST1H3E	392	1	397	0	53	14	1	0	56	7
HIST1H2BH	39	205	6	0	24	32	30	0	0	0
HIST1H3G	16	0	0	0	14	80	47	0	0	0
HIST1H4H	111	36	2	0	33	33	36	0	0	0
ZNF322	9	19	0	0	0	14	3	68	1	0
HIST1H4I	2181	1	2169	2153	1831	26	8	1794	1819	23
HIST1H2AI	29	0	25	0	32	29	29	0	0	0
HIST1H3H	20	0	175	1	20	30	23	1	80	6
HIST1H4J	775	622	761	39	37	464	37	237	1	438
HIST1H4K	38	628	14	4	728	40	29	610	731	13
HIST1H2AK	15	44	28	40	37	28	24	0	0	0
HIST1H3J	21	33	0	0	56	22	20	32	44	0
TRIM27	0	0	0	1159	0	3236	0	270	0	2593
UBD	20	3383	17	0	11	1860	2	3500	1	1800
GABBR1	16	1239	0	294	1271	249	17	2050	1274	205
ZFP57	0	0	0	73	0	9	0	63	0	8
HLA-F	1	5	1	4	8	3471	3	2792	6	3322
HLA-G	192	3174	193	506	3748	57	0	3980	3748	54
HLA-A	3	1	1	4799	9	3732	1	4799	0	4034
ZNRD1	1	0	0	0	1	3972	2	0	0	3968
PPP1R11	5	0	0	4798	5	4709	2	4796	0	4717
RNF39	3	1	2	426	10	44	0	458	8	45
TRIM31	0	0	0	529	0	413	0	504	0	414
TRIM15	6	1	1	510	5	138	4	462	0	136
TRIM26	1	0	0	4740	1	3693	0	4722	0	3784
TRIM39	0	0	0	37	0	2	0	379	0	2
TRIM39-RPP21	0	4581	0	0	4581	0	0	4581	4581	0
RPP21	2503	40	2458	620	4	4684	10	4145	0	4702
HLA-E	3	1	1	4800	4	3635	0	4799	1	3607
GNL1	0	0	0	2986	0	4506	0	2750	0	4478
PRR3	1	0	0	153	1	55	1	131	0	52
ABCF1	5	0	0	4764	4	3292	1	4750	0	3816
PPP1R10	6	0	2	4705	4	1943	3	4683	0	2265
MRPS18B	13	0	0	4798	13	4006	0	4798	0	4166
ATAT1	4	0	0	359	4	101	5	271	0	102
C6orf136	1	0	0	2217	1	836	1	2025	0	766
DHX16	1	0	0	4434	0	1252	0	4318	0	1665
PPP1R18	2	2	2	3959	1	3275	2	3874	0	3374
NRM	5	1	2	2823	4	1478	4	2704	0	1471
MDC1	1	0	1	1166	1	702	2	1171	0	515
TUBB	4	0	1	4800	4	4636	0	4799	0	4730
FLOT1	5	0	0	4800	4	4115	1	4797	0	4205
IER3	6	1	1	4512	11	493	0	4585	1	364
