gtexV6-xena	gtexV6-recount	gtexV6-mskcc	xena-recount	xena-mskcc	recount-mskcc
CERS6	35	0	7	130	0	0
ATP5G3	78	0	45	148	0	107
HOXD11	1	168	1	0	0	0
MOB4	279	1230	266	0	0	0
WDR12	104	0	122	31	0	44
NBEAL1	0	1329	0	1290	0	1305
ABI2	0	34	0	29	0	29
RAPH1	0	39	0	1	0	1
RPE	0	28	0	0	0	0
FN1	0	0	0	49	0	40
RPL37A	1880	0	1884	1890	0	1890
NHEJ1	58	164	60	0	0	0
TUBA4A	217	30	297	0	0	0
DES	1	3	1	23	0	25
SP100	0	0	0	54	0	56
UGT1A1	132	444	100	425	76	407
UGT1A10	0	402	0	403	0	401
UGT1A7	0	299	0	284	0	283
UGT1A6	102	465	95	284	0	291
UGT1A4	19	522	17	525	0	526
UBE2F	1412	55	1569	0	0	0
SCLY	42	0	45	0	0	0
TWIST2	0	0	0	0	0	519
TTLL3	1650	1449	1638	0	0	0
TATDN2	478	1636	358	0	0	0
ATG7	0	394	0	184	0	131
VGLL4	246	1139	287	0	0	0
RPL32	0	0	0	482	0	514
NR2C2	233	1260	0	0	0	768
SH3BP5	9	0	3	36	0	10
RAB5A	0	21	0	0	0	0
RPL15	17	0	14	898	0	1200
CMC1	210	10	224	28	0	26
CMTM6	30	828	31	0	0	0
DLEC1	0	117	0	120	0	120
WDR48	0	36	0	0	0	0
RPSA	0	0	0	1742	0	1869
RPL14	0	1890	0	1890	0	1890
EXOSC7	0	87	0	63	0	58
PRSS45	0	0	3	13	0	50
KIF9	63	0	60	0	0	0
CCDC51	0	58	0	534	0	583
DALRD3	0	90	0	404	0	73
NICN1	0	2	0	24	0	47
LSMEM2	0	945	0	945	0	945
TUSC2	0	44	0	210	0	180
CYB561D2	931	0	5	1000	155	39
TMEM115	24	0	17	0	0	0
ACY1	445	262	446	0	0	0
SPCS1	0	1531	0	0	0	0
ITIH4	232	456	235	0	0	0
MUSTN1	707	1498	742	121	0	80
TMEM110	8	376	8	3	0	0
PSMD6	0	64	0	0	0	0
SLC25A26	0	153	0	21	0	21
CRYBG3	11	352	184	0	0	0
CPOX	0	1	0	38	0	40
PLCXD2	65	0	64	65	0	64
ZBTB20	0	39	0	39	0	39
KALRN	29	0	14	20	0	11
RAB43	2	276	2	8	0	2
ISY1	340	1300	737	0	0	0
ACAD11	1025	1509	1043	0	0	0
HPS3	2	107	6	106	0	105
P2RY1	0	1	0	0	0	122
IQCJ-SCHIP1	476	919	441	1	0	3
SCHIP1	52	1000	86	880	0	820
TRIM59	0	27	0	26	0	22
GNB4	0	39	0	0	0	384
TTC14	14	38	41	0	0	0
B3GNT5	86	137	87	0	0	0
MUC20	547	674	434	0	0	0
MYL5	0	106	0	15	0	12
LRPAP1	0	27	0	0	0	0
CPZ	57	202	59	0	0	0
FAM200B	16	0	24	0	0	0
FGFBP2	0	13	0	22	0	22
PI4K2B	19	0	0	249	25	0
STIM2	0	26	0	11	0	11
C4orf19	54	167	53	0	0	0
RELL1	0	0	0	23	0	24
RPL9	1608	26	1671	1890	0	1890
PDGFRA	128	993	125	0	0	0
NOA1	1421	0	1445	0	0	0
MUC7	0	7	0	59	0	59
ENAM	0	171	0	171	0	171
AREG	10	483	6	0	1	14
FAM47E	0	0	76	0	80	74
FAM47E-STBD1	5	233	0	104	1	566
PAQR3	0	19	0	1	0	1
HERC3	53	47	2	19	0	11
EIF4E	1240	0	1084	851	0	609
ADH1A	5	241	5	276	0	276
SLC9B2	0	77	0	153	0	155
RPL34	0	8	0	1884	0	1889
FGF2	0	351	0	0	0	0
RPS3A	0	2	1	1890	0	1890
SH3D19	0	48	0	235	0	232
CBR4	0	161	0	302	0	301
UFSP2	0	43	0	87	0	84
PDLIM3	0	39	0	0	0	0
SORBS2	117	0	130	191	0	205
SLC9A3	71	0	64	424	0	424
TPPP	0	148	0	0	0	17
PAPD7	1555	0	0	1087	595	0
ANKRD33B	0	21	0	0	0	21
SUB1	0	0	0	738	0	780
NPR3	1	44	0	0	0	0
AMACR	3	22	4	0	0	0
C1QTNF3	30	94	26	0	0	0
RPL37	1889	0	1890	1890	0	1890
CCDC152	50	1890	60	1890	0	1889
SKIV2L2	0	52	0	43	0	51
SERF1A	0	52	0	38	0	41
SMN1	75	164	110	0	0	0
NSA2	1	83	3	0	0	0
MTX3	0	1	0	0	0	50
SERINC5	0	16	0	0	0	127
ATG10	0	1870	0	1869	0	1870
RPS23	1	3	0	1890	0	1890
LNPEP	0	0	33	0	0	4
SLCO4C1	0	5	0	0	0	29
TMED7	1131	1884	1123	0	0	0
ALDH7A1	0	2	0	1296	0	1468
SKP1	1546	0	1661	1890	0	1890
C5orf24	512	1465	564	0	0	0
H2AFY	0	0	0	50	0	39
HNRNPA0	1889	0	2	0	0	0
EIF4EBP3	1	1117	5	225	0	12
NDUFA2	1890	1890	1890	0	0	0
PCDHGA1	0	1647	0	1647	0	1647
PCDHGA2	0	1624	0	1624	0	1624
PCDHGA3	0	1726	0	1726	0	1726
PCDHGB1	0	1728	0	1728	0	1728
PCDHGA4	0	1726	0	1726	0	1726
PCDHGB2	0	1733	0	1733	0	1733
PCDHGA5	0	1676	0	1676	0	1676
PCDHGB3	0	1728	0	1728	0	1728
PCDHGA6	0	1552	0	1552	0	1552
PCDHGA7	0	1694	0	1694	0	1694
PCDHGB4	0	1617	0	1617	0	1617
PCDHGA8	0	1513	0	1513	0	1513
PCDHGA9	0	1734	0	1734	0	1734
PCDHGB6	0	1629	0	1629	0	1629
PCDHGA10	0	1639	0	1639	0	1639
PCDHGB7	0	1727	0	1727	0	1727
PCDHGA11	0	1674	0	1674	0	1674
PCDHGA12	0	1731	0	1731	0	1731
PCDHGC3	168	689	0	0	220	1310
PCDHGC5	0	1717	0	1717	0	1717
RELL2	0	14	0	141	0	150
ATOX1	1863	0	1870	1882	0	1883
MRPL22	0	0	0	72	0	0
CYFIP2	66	0	63	21	0	18
NPM1	0	0	0	107	0	184
HRH2	0	84	0	77	0	131
FAM153B	23	0	33	9	0	9
NOP16	0	10	0	5	0	17
MXD3	0	794	0	985	0	1025
GRK6	0	82	0	88	0	87
TRIM52	0	81	0	0	0	0
FOXQ1	162	0	2	267	0	0
NQO2	0	50	0	100	0	167
TUBB2B	0	596	0	768	0	776
PSMG4	282	95	350	11	0	12
SLC22A23	0	397	1	0	0	0
C6orf201	0	104	0	104	0	104
LYRM4	20	0	28	0	0	0
TXNDC5	862	1887	1336	8	3	0
MBOAT1	25	0	0	0	0	0
PRL	0	2	0	102	0	111
ABT1	23	0	1	0	0	0
HIST1H4I	0	54	0	67	0	69
UBD	0	54	0	0	0	0
HLA-G	0	896	0	915	0	915
ZNRD1	1	49	0	0	0	0
PPP1R11	50	1242	41	0	0	0
TRIM39	0	646	0	0	0	0
SFTA2	0	68	0	79	0	77
DDX39B	1890	1890	1890	0	0	0
ABHD16A	1305	913	1288	0	0	0
MSH5	144	77	220	0	0	0
HSPA1B	0	935	0	68	0	113
CFB	1098	833	1205	0	0	0
C4A	1565	1315	1577	0	0	0
C4B	1565	1360	1584	0	0	0
CYP21A2	0	374	0	366	0	361
AGPAT1	266	1553	226	0	0	0
HLA-DRB5	8	1210	7	1203	0	1198
HLA-DRB1	1	960	0	969	0	991
HLA-DQA1	58	68	64	0	0	0
HLA-DQB1	97	125	95	32	0	29
HLA-DQB2	0	189	0	158	0	158
PFDN6	0	120	0	0	0	0
UQCC2	0	54	0	28	0	17
NUDT3	55	48	109	985	0	1249
RPS10	1890	1890	1890	1792	0	1818
CLPS	0	7	0	14	0	17
SRPK1	0	32	0	0	0	0
MOCS1	0	369	0	301	0	278
UNC5CL	20	0	16	0	0	0
PRICKLE4	0	403	0	1069	0	603
PEX6	20	0	12	35	0	34
CRIP3	0	24	0	22	0	22
RSPH9	16	359	17	396	0	396
GSTA2	7	0	6	33	0	31
DST	1395	0	1473	1509	0	1560
BAG2	0	105	7	95	0	0
SMAP1	0	427	0	0	0	0
B3GAT2	0	91	0	91	0	91
OGFRL1	2	484	2	0	0	0
EEF1A1	1789	0	1802	193	0	220
SLC35A1	469	1672	448	0	0	0
HDAC2	0	0	0	26	0	9
SOGA3	0	48	0	48	0	48
KIAA0408	3	48	3	0	0	0
TBPL1	24	22	54	0	0	0
HEBP2	0	282	0	0	0	0
SYNE1	4	0	6	21	0	21
SOD2	21	0	38	23	0	38
PLG	19	0	14	35	0	27
WDR27	52	0	28	0	0	0
GET4	1829	1768	1828	0	0	0
ADAP1	540	556	583	0	0	0
COX19	0	85	0	380	0	331
MAFK	44	909	62	20	0	5
TMEM184A	0	442	0	431	0	419
MAD1L1	37	0	36	34	0	32
CHST12	0	646	0	0	0	0
CCZ1B	124	0	89	36	0	17
HOXA9	286	430	275	0	0	0
JAZF1	87	830	82	0	0	0
AQP1	1719	1801	1721	0	0	0
PSMA2	1890	1889	1890	0	0	0
COA1	93	0	215	22	0	67
PPIA	0	0	1	1888	0	1890
MRPS17	0	697	10	697	10	0
PHKG1	0	790	0	869	0	892
ERV3-1	13	108	13	0	0	0
CRCP	24	1623	59	0	0	0
KCTD7	0	20	0	243	0	109
RABGEF1	271	1563	407	0	0	0
TYW1	0	1	0	109	0	110
POM121	0	0	0	12	0	25
TRIM74	7	0	0	29	1	0
GTF2I	21	0	1018	0	4	5
GTF2IRD2	51	0	77	0	0	0
GTF2IRD2B	296	0	721	0	0	0
CYP51A1	82	565	86	0	0	0
LRRD1	0	532	0	532	0	532
PTCD1	0	958	0	956	0	676
ATP5J2	1641	0	1751	1189	0	1478
GATS	0	0	71	0	19	155
PILRA	0	169	0	267	0	262
SAP25	225	0	492	380	0	652
MUC12	15	0	44	3	0	4
TRIM56	0	117	0	0	0	1095
ZNHIT1	56	1769	36	0	0	0
POLR2J	39	1	11	0	0	0
RASA4B	61	940	18	1	0	3
POLR2J3	640	0	409	665	0	308
RASA4	1180	34	1058	0	0	0
COG5	0	25	0	37	0	43
DNAJB9	27	0	15	0	0	0
NAA38	1478	690	0	0	474	80
GCC1	0	0	0	241	0	241
FSCN3	0	806	0	806	0	806
OPN1SW	0	0	0	50	0	50
TNPO3	0	0	2	0	0	42
AKR1B15	20	0	27	5	0	11
C7orf49	131	0	193	0	0	0
TMEM140	355	1547	351	6	0	4
C7orf73	63	3	0	0	0	0
MTPN	0	94	0	0	0	327
C7orf55-LUC7L2	735	1890	675	60	0	54
NDUFB2	222	0	161	1523	0	1524
MRPS33	0	9	0	409	0	285
SSBP1	0	5	0	128	0	145
EPHA1	0	579	0	382	0	384
ARHGEF35	0	19	0	0	0	0
CTAGE8	4	69	2	9	0	12
NOS3	0	38	0	19	0	22
DNAJB6	0	9	0	187	0	294
DEFA1	234	286	315	8	0	2
DEFA3	23	14	23	61	0	62
DEFB4B	14	47	14	54	0	54
PDGFRL	0	77	0	230	0	99
MTUS1	372	75	740	0	0	0
ASAH1	0	178	0	0	0	2
PDLIM2	1699	3	1572	1105	0	419
SLC25A37	0	19	0	0	0	0
ZNF395	1135	1820	1159	0	0	0
FBXO16	0	676	0	686	0	688
BRF2	0	538	1	915	0	799
RAB11FIP1	44	0	0	37	0	0
PCMTD1	4	92	0	0	0	0
PDE7A	11	43	11	0	0	0
SGK3	3	19	3	0	0	0
RPL7	1890	0	1890	1890	0	1890
FABP5	1640	0	1684	1360	0	1598
E2F5	0	59	0	7	0	8
NECAB1	0	143	0	0	0	0
RBM12B	0	54	0	0	0	0
UQCRB	1082	0	1200	1890	0	1890
RPL30	1538	0	1515	1593	0	1568
COX6C	30	0	66	137	0	202
ZNF706	356	0	360	218	0	217
ENY2	0	0	0	401	0	484
MAL2	0	444	0	0	0	0
SNTB1	3	97	3	0	0	0
MTSS1	14	50	13	0	0	0
TRAPPC9	11	204	0	0	0	0
AGO2	0	24	0	0	0	164
LYNX1	222	0	222	206	0	204
GLI4	70	274	84	0	0	0
EEF1D	34	0	6	1828	0	1601
MROH1	317	407	5	0	0	0
BOP1	927	1538	720	0	0	0
SLC39A4	0	0	0	33	0	24
FOXH1	0	1042	0	1043	0	1043
LRRC14	6	49	4	0	0	0
ZNF7	256	0	287	0	0	0
COMMD5	229	1144	224	0	0	0
CBWD1	1097	0	1213	747	0	946
CD72	0	330	0	325	0	326
ARHGEF39	0	806	0	802	0	785
CREB3	26	0	25	0	0	0
FBXO10	0	29	0	0	0	0
TOMM5	1884	1336	1886	0	0	0
CNTNAP3B	336	15	69	0	1	0
CBWD5	1560	0	1195	1553	0	1082
CBWD3	352	0	1	208	78	0
CENPP	0	51	0	51	0	52
C9orf129	0	329	0	329	0	329
C9orf3	1198	0	1368	284	0	457
TMOD1	0	86	0	111	0	100
TSTD2	0	518	0	301	0	336
TRIM14	0	0	0	49	0	47
AKAP2	1084	1401	1085	0	0	0
GNG10	636	1721	629	0	0	0
SLC31A2	182	641	167	3	0	3
CDC26	34	0	51	0	0	0
RGS3	0	0	0	43	0	22
ORM2	0	36	0	34	0	35
GSN	33	0	30	9	0	8
STOM	4	68	0	0	0	0
RPL12	0	0	0	79	0	58
PTRH1	196	59	196	23	0	22
SPTAN1	64	0	0	31	61	0
ENDOG	0	790	0	1060	0	1039
ASB6	0	0	0	3	0	85
GBGT1	44	153	51	0	0	0
C9orf172	0	73	0	0	0	449
LCNL1	2	53	2	0	0	0
TPRN	11	0	11	18	0	19
FAM166A	0	426	0	426	0	426
NRARP	59	0	2	0	0	0
NOXA1	73	0	67	1246	0	1253
EHMT1	0	0	0	8	0	25
AKR1C1	114	0	0	0	0	0
CALML3	320	0	0	0	0	0
FRMD4A	447	7	336	0	0	0
RPP38	23	696	18	0	0	0
TMEM236	4	79	3	0	1	37
MRC1	101	610	0	0	106	566
BMI1	460	1448	501	0	0	0
CXCL12	215	66	216	0	0	0
ZNF22	30	0	22	0	0	0
AGAP4	226	194	9	0	7	8
AGAP9	307	1212	6	0	2	1177
FAM25G	43	31	53	8	0	16
ANXA8	286	284	244	0	22	17
FAM25C	51	12	41	19	1	13
TIMM23B	0	5	0	0	2	34
MSMB	0	163	0	1	0	1
PHYHIPL	0	235	0	232	0	229
DNAJC9	23	0	31	0	0	0
ZSWIM8	50	0	49	0	0	0
NDST2	1126	1850	965	44	0	87
C10orf55	0	23	0	23	0	23
C10orf11	190	0	5	138	0	0
KCNMA1	34	0	16	15	0	11
RPS24	1809	0	1814	1890	0	1890
EIF5AL1	97	0	97	1647	0	1647
PI4K2A	19	1481	17	0	0	0
HPSE2	0	1	0	0	1	137
ERLIN1	267	0	343	0	0	0
FBXL15	300	0	376	0	0	0
AS3MT	20	388	20	0	0	1
CNNM2	0	236	0	292	0	291
BBIP1	0	83	0	4	0	4
HABP2	0	28	0	4	0	4
NRAP	0	73	0	73	0	73
NHLRC2	0	41	0	0	0	166
PNLIP	0	6	0	149	0	147
SLC18A2	27	0	0	67	0	0
PDZD8	0	2	0	20	0	17
FAM204A	0	0	0	1023	0	933
FAM45A	13	0	28	0	0	0
ZRANB1	5	0	0	885	0	0
NKX6-2	12	412	0	408	1	413
PRAP1	213	216	208	0	0	0
MTG1	163	200	188	0	0	0
SPRN	7	46	7	0	0	0
RPLP2	6	24	4	0	0	0
POLR2L	146	0	116	0	0	0
MUC5AC	126	0	0	0	5	0
TOLLIP	0	52	0	0	0	0
MRPL23	0	1	0	63	0	121
IGF2	476	1072	461	0	0	0
HBD	0	55	0	66	0	66
HBG1	3	20	0	26	3	18
HBG2	31	0	0	0	0	0
TAF10	0	412	0	225	0	240
EIF3F	104	0	100	1415	0	1464
TUB	0	110	0	0	0	0
RPL27A	1889	0	1889	1890	0	1890
MTRNR2L8	53	209	53	180	0	180
CSNK2A3	487	0	487	1479	0	1479
PSMA1	1452	11	631	1890	1890	0
RPS13	0	37	0	0	0	0
NUCB2	68	0	480	16	0	66
SAA4	18	4	15	93	0	96
FIBIN	0	0	0	0	0	19
IMMP1L	49	0	48	40	0	41
EIF3M	0	0	0	351	0	494
C11orf96	1584	1660	1425	0	0	0
TSPAN18	1	89	1	0	0	0
TP53I11	1462	1397	1464	0	0	0
KBTBD4	0	1	298	2	0	968
PTPRJ	0	3	0	0	0	106
DTX4	5	145	5	0	0	0
PGA3	332	124	312	3	0	1
PGA4	225	176	257	1	0	12
PGA5	47	263	119	120	145	264
CYB561A3	1210	5	1180	0	0	0
SDHAF2	1553	0	1607	254	0	416
BEST1	6	1890	5	1890	0	1890
INTS5	0	147	0	0	0	0
BSCL2	1410	1786	1584	0	0	0
SNX32	0	1707	0	1706	0	1706
SLC29A2	1	0	0	86	0	84
BBS1	1138	1541	1148	0	0	0
RBM4	1888	1866	1888	0	0	0
LRFN4	81	623	77	0	0	0
PTPRCAP	502	0	14	442	0	0
TMEM134	0	11	0	193	0	20
TPCN2	0	51	0	90	0	89
CCND1	0	35	0	0	0	0
IL18BP	0	1687	0	1393	0	1400
ANAPC15	709	0	435	0	0	0
CHRDL2	40	0	40	32	0	32
RNF169	0	149	0	21	0	61
SPCS2	221	0	734	2	0	36
RPS3	594	0	1620	367	0	1263
KCTD14	3	205	1	0	0	0
PCF11	29	0	2	0	0	0
FZD4	10	687	9	1	0	1
ALG9	141	0	104	0	0	0
C11orf52	169	427	180	0	0	0
TIMM8B	47	301	47	0	0	0
SDHD	0	0	1890	0	1889	1890
C11orf71	2	314	0	0	0	179
RBM7	112	3	119	0	0	0
PCSK7	111	869	651	704	38	113
FXYD2	66	0	66	63	0	63
UBE4A	0	87	0	337	0	154
TREH	0	1450	0	1461	0	1461
CXCR5	0	1604	3	1603	0	1592
CCDC153	0	75	0	75	0	75
CLMP	0	1	0	0	0	260
HEPACAM	0	8	0	23	0	21
JAM3	0	69	0	0	0	0
DYRK4	16	0	6	1386	0	1311
NDUFA9	514	0	2	756	0	30
CD27	0	18	0	189	0	201
VAMP1	46	1332	82	0	0	0
EMG1	3	32	0	263	0	107
C1RL	0	15	0	291	0	257
PHC1	1047	1578	1182	3	0	3
M6PR	15	15	14	0	0	0
PRR4	18	0	61	1	0	6
APOLD1	0	83	0	597	0	593
DDX47	1723	1627	1729	0	0	0
WBP11	93	0	1	0	0	0
C12orf60	0	1378	0	1378	0	1378
MGST1	35	0	139	497	0	715
PYROXD1	1	349	0	1	0	4
RECQL	0	0	0	106	0	51
KRAS	0	717	0	0	0	0
SSPN	0	30	0	0	0	115
H3F3C	5	1269	5	1344	0	1344
SLC48A1	120	985	133	0	0	0
ARF3	1776	1852	1796	0	0	0
FMNL3	0	2	0	27	0	1
KRT75	0	194	0	194	0	194
KRT6B	0	1	0	19	0	19
KRT6C	0	3	0	44	0	45
KRT2	0	17	0	19	0	18
KRT1	0	14	0	48	0	54
KRT79	0	128	0	128	0	128
HOXC4	0	11	1	0	3	41
HNRNPA1	760	0	834	565	0	654
SARNP	524	57	541	0	0	0
DNAJC14	8	581	9	7	0	6
MMP19	193	0	142	261	0	197
RAB5B	1	0	91	0	0	1
RPS26	1890	230	1890	1890	0	1890
RPL41	1880	0	1886	1815	0	1858
ZC3H10	108	0	0	0	0	0
MYL6B	0	1207	0	951	0	905
ANKRD52	0	43	0	0	0	0
CNPY2	1845	618	1811	0	0	0
SPRYD4	12	46	22	0	0	0
RBMS2	0	3	0	0	0	48
NACA	1885	0	1889	1890	0	1890
TAC3	0	79	0	85	0	85
NDUFA4L2	692	697	672	0	0	0
B4GALNT1	0	152	0	57	0	50
TSFM	138	175	151	0	0	0
USP15	0	0	0	496	0	353
AVPR1A	0	9	0	0	0	75
RASSF3	0	136	0	0	0	0
MSRB3	394	1359	390	0	0	0
TMBIM4	1889	1890	1889	0	0	0
RAP1B	0	0	0	1880	0	1877
MDM2	612	24	529	1	0	0
RAB3IP	30	0	1	4	0	0
ATXN7L3B	1875	0	5	1	0	0
NAP1L1	0	0	0	1574	0	1760
CSRP2	0	495	0	0	0	0
MRPL42	0	0	0	99	0	123
TMPO	0	74	0	73	0	73
C12orf45	0	6	0	96	0	0
PPTC7	1	477	0	0	0	2
ALDH2	7	873	2	0	0	0
MAPKAPK5	0	44	0	0	0	0
RPL6	0	8	0	1890	0	1890
PLBD2	0	4	0	0	0	572
MAP1LC3B2	860	0	868	772	0	783
GATC	0	1881	0	1878	0	1878
C12orf43	0	37	0	28	0	19
TMEM120B	1	51	0	97	0	86
RHOF	0	495	14	76	0	11
PSMD9	0	1647	0	15	0	28
B3GNT4	0	38	0	35	0	35
DIABLO	1772	12	1762	0	0	0
VPS33A	0	1823	0	1720	0	1714
VPS37B	278	932	334	0	0	0
ABCB9	0	21	0	13	0	14
RILPL2	1421	4	1	0	262	0
PGAM5	38	625	122	0	0	0
ZNF10	140	444	177	0	0	0
ZDHHC20	0	115	0	0	0	410
C1QTNF9B	25	0	25	34	0	33
SPATA13	870	222	0	26	194	4
PABPC3	0	382	0	382	0	382
RPL21	1890	1	1890	1890	0	1890
POLR1D	0	0	0	1362	0	1418
ATP5EP2	1	1803	1	1799	0	1801
DNAJC15	102	0	0	0	0	0
TPT1	0	13	0	732	0	7
ITM2B	0	86	0	500	0	3
TRIM13	46	7	122	0	0	0
HNRNPA1L2	17	260	0	1739	0	1562
SUGT1	172	0	182	111	0	112
FARP1	0	0	0	1	0	55
FGF14	0	22	0	22	0	2
BIVM	13	300	15	0	0	0
PNP	25	17	25	0	0	0
ANG	929	1562	871	0	0	0
MRPL52	0	0	0	63	0	83
PPP1R3E	392	338	400	0	0	0
BCL2L2-PABPN1	6	1890	100	1890	65	1890
MYH7	0	15	0	28	0	28
IRF9	1091	474	1114	0	0	0
CHMP4A	20	0	30	0	0	0
NEDD8	1890	1871	1890	2	0	2
NOP9	0	219	0	279	0	274
KHNYN	0	170	0	12	0	9
PSMA6	1837	2	1840	4	0	0
