gene	corr_protein_GDC	corr_protein_PiccoloLab	corr_protein_mskcc_BATCH	corr_protein_mskcc_Norm	corr_protein_Recount2	corr_protein_Xena_Toil
CHEK1	0.0806368338519872	0.0770651071927925	0.0799722476034307	0.0805254028573783	0.078666513496702	0.0781555507499799
CTNNB1	0.0789029445117207	0.0792393098893617	0.0713844302970198	0.0644625847182837	0.0789975248559437	0.0611853610785096
EEF2	0.0786358072638386	0.0757526536467591	0.0644288847779591	0.0545224022873466	0.0789685590145959	0.0718944752429169
SRC	0.0771147343321393	0.0820474137447555	0.113753545296244	0.124806034815953	0.0744245900822795	0.124591225229663
HSPA1A	0.0752050901162259	0.056302614967424	0.0493841584573828	0.0674723642452978	0.012251557754765	0.0666748603836816
CDKN1B	0.0683819432958976	0.0629828575051693	0.0442610302055242	0.0531510895541732	0.0737630227512575	0.051979162129793
MTOR	0.0622710765523741	0.0596455020458175	0.0551014477526624	0.0823866767352487	0.0598523049213176	0.0956956971647621
SHC1	0.0597803688856482	0.052548578925206	-0.00156989558735684	0.0585482096082096	0.0511356280297104	0.0639987116957262
MAPK8	0.0448978412893287	0.0195806196502713	0.0382794191805921	0.0452652207428908	0.0378862412741152	0.0370002408746255
GSK3A	0.024265452802408	0.0354953920243806	0.031943901660047	0.0566366877345106	0.0206305550394657	0.0511715698375456
RAF1	0.0221390167683702	0.0332871333795129	0.0246946146072755	0.0462829956406383	0.0148966487058561	0.0492276604304209
KDR	0.00667429594227948	0.00659462927419436	0.0131752130280342	0.0115773017860449	0.00553186433436936	0.0122140010365506
BAK1	-0.00529157462544117	-0.000958899408244157	-0.00340373265714807	-0.0123590422798854	-0.0103596064164291	-0.0130606112982162
PRKCD	-0.00549773268699439	-0.00710120061430959	-0.0420022650749815	-0.0172301206692008	-0.00740054595721335	-0.0203070532348552
AKT1	-0.0100895545615102	-0.0260245832026322	-0.0420291099030838	2.24972723220018e-05	-0.0295969348322762	0.00743998808987533
HSBP1	-0.0168399380592206	0.00736545240953364	-0.0719249831740243	-0.0796956363800798	-0.0173857721989089	-0.115560342796004
AKT1	-0.0170880959347761	-0.0167031204746264	-0.0259587571572118	0.017763354028349	-0.0322608271984755	0.0183356699904074
RPS6KB1	-0.0349333165121852	-0.0373663330926244	-0.092129295328202	-0.0517249923870241	-0.0350076800212245	-0.0558596346167669
MAPK14	-0.0496008758699917	-0.0298173182321858	0.0107427946284826	0.0154712563006602	-0.0628472701312868	0.0155198450600629
RB1	-0.0520367749269951	-0.0501281304109792	-0.051596850271466	-0.0638541131861446	-0.0559568887638111	-0.0634757753195584
AKT1S1	-0.0759813617779044	-0.0747983897866604	-0.113407185621064	-0.0700752624245709	-0.0815375665428423	-0.069585471768843
PDK1	-0.136185461053856	-0.140045114487471	-0.162283131018174	-0.144166741832614	-0.134888575532003	-0.144903448010285
RPS6	-0.202775723332384	-0.197635047013383	-0.187837180550688	-0.190054989094387	-0.202546924763755	-0.188122605614503
ERBB3	-0.211605908433172	-0.208671228088818	-0.19028039899134	-0.209265965887304	-0.212299828169441	-0.208850281577112
RPS6	-0.230142635626773	-0.224269883252804	-0.220444245900753	-0.22156942019686	-0.229572709583252	-0.220669397365214
